Date,Production,Plantation,Lag3_Plantation,Lag3_Milho_Price,Interest_Rate
2/1/2019,4354.540758121898,0.0,595.828252035081,160.69,6.5843
3/1/2019,2153.9303689504795,0.42463892286582106,0.0,167.44,5.910311887362631
4/1/2019,43.07480883991593,0.0,11.1473024836494,166.74,6.411489078073469
5/1/2019,0.0,0.104016299137154,0.0,169.52,5.983559877051059
6/1/2019,0.0,0.11351318993408199,0.42463892286582106,170.79959271010298,6.74214324047129
7/1/2019,0.0,0.11286228938567501,0.0,169.77749508851102,5.840935944235441
8/1/2019,0.0,0.0644311578794194,0.104016299137154,169.929585606075,5.96477314473763
9/1/2019,0.0,47.345228462262,0.11351318993408199,168.576985187654,5.55932386833838
10/1/2019,0.0,1481.27952733513,0.11286228938567501,171.254936037046,5.4527880737359
11/1/2019,0.0,848.29705588287,0.0644311578794194,163.019992693414,5.78982606652536
12/1/2019,0.0,12.370087482516801,47.345228462262,157.524338264814,5.56342277491543
