Date,Production,Lag2_Plantation,Lag3_Plantation,Plantation,Lag4_Plantation,Exchange_Rate,Interest_Rate,Milho_Price,Lag3_Milho_Price
1/1/2012,0.0,248.16000000000005,22.560000000000002,91.19222986645084,0.0,1.785035,9.8589,272.84,274.79
2/1/2012,0.0,180.48000000000002,248.16000000000005,0.0,22.560000000000002,1.7168,9.3174,279.46,274.39
3/1/2012,387.21984000000015,91.19222986645084,180.48000000000002,0.0,248.16000000000005,1.7953,8.9862,280.69,258.65
4/1/2012,926.5617599999999,0.0,91.19222986645084,0.0,180.48000000000002,1.8522476190476191,8.4999,274.0,272.84
5/1/2012,69.14639999999986,0.0,0.0,0.0,91.19222986645084,1.9810227272727277,7.9716,269.28,279.46
6/1/2012,0.0,0.0,0.0,0.0,0.0,2.048195238095238,7.6076,267.31,280.69
7/1/2012,0.0,0.0,0.0,0.0,0.0,2.029552380952381,7.2953,333.05,274.0
8/1/2012,0.0,0.0,0.0,0.0,0.0,2.0279434782608696,8.277000000000001,331.99,269.28
9/1/2012,0.0,0.0,0.0,0.0,0.0,2.026857894736842,7.5788,320.85,267.31
10/1/2012,0.0,0.0,0.0,18.675872116552,0.0,2.0297318181818182,7.2399,321.24,333.05
11/1/2012,0.0,0.0,0.0,312.3964063132335,0.0,2.06622,7.1409,321.64,331.99
12/1/2012,0.0,18.675872116552,0.0,127.33549170376368,0.0,2.07746,7.0357,308.65,320.85
1/1/2013,0.0,312.3964063132335,18.675872116552,0.0,0.0,2.028109523809524,7.3737,303.13,321.24
2/1/2013,7.6820340000000025,127.33549170376368,312.3964063132335,0.0,18.675872116552,1.9729315789473685,7.8862,302.74,321.64
3/1/2013,483.96814200000017,0.0,127.33549170376368,0.0,312.3964063132335,1.9842142857142857,8.0275,309.04,308.65
4/1/2013,891.1159440000001,0.0,0.0,0.0,127.33549170376368,2.001109090909091,7.7476,279.91,303.13
5/1/2013,153.64067999999997,0.0,0.0,0.0,0.0,2.0364727272727277,8.0224,295.54,302.74
6/1/2013,0.0,0.0,0.0,0.0,0.0,2.17336,8.6295,298.41,309.04
7/1/2013,0.0,0.0,0.0,0.0,0.0,2.2518318181818184,9.01,279.51,279.91
8/1/2013,0.0,0.0,0.0,0.0,0.0,2.340790909090909,10.2779,238.74,295.54
9/1/2013,0.0,0.0,0.0,0.0,0.0,2.264105,10.1777,207.41,298.41
10/1/2013,0.0,0.0,0.0,37.42,0.0,2.1882227272727275,9.9838,201.73,279.51
11/1/2013,0.0,0.0,0.0,512.8741176470587,0.0,2.295936842105263,10.1783,199.13,238.74
12/1/2013,0.0,37.42,0.0,198.10588235294134,0.0,2.347095238095238,10.5595,197.39,207.41
1/1/2014,0.0,512.8741176470587,37.42,0.0,0.0,2.3857809523809523,11.9399,198.06,201.73
2/1/2014,38.6034075,198.10588235294134,512.8741176470587,0.0,37.42,2.3792,11.2757,209.32,199.13
3/1/2014,1402.5904724999998,0.0,198.10588235294134,0.0,512.8741176470587,2.3250523809523806,11.5092,222.33,197.39
4/1/2014,617.65452,0.0,0.0,0.0,198.10588235294134,2.2324727272727274,11.3251,222.36,198.06
5/1/2014,0.0,0.0,0.0,0.0,0.0,2.219509523809524,11.1667,217.3,209.32
6/1/2014,0.0,0.0,0.0,0.0,0.0,2.236019047619048,10.9004,202.39,222.33
7/1/2014,0.0,0.0,0.0,0.0,0.0,2.2242136363636362,10.9307,182.73,222.36
8/1/2014,0.0,0.0,0.0,0.0,0.0,2.268519047619048,11.3251,176.42,217.3
9/1/2014,0.0,0.0,0.0,0.0,0.0,2.3378809523809525,11.6598,163.06,202.39
10/1/2014,0.0,0.0,0.0,42.48,0.0,2.449531818181818,11.6777,163.12,182.73
11/1/2014,0.0,0.0,0.0,605.898947368421,0.0,2.5527277777777777,11.8799,178.74,176.42
12/1/2014,0.0,42.48,0.0,201.22105263157903,0.0,2.6418857142857144,12.8928,178.73,163.06
1/1/2015,0.0,605.898947368421,42.48,23.442369816534175,0.0,2.63462,12.6768,174.71,163.12
2/1/2015,247.57343999999998,201.22105263157903,605.898947368421,0.0,42.48,2.8169894736842105,13.2199,173.7,178.74
3/1/2015,932.5266239999997,23.442369816534175,201.22105263157903,0.0,605.898947368421,3.1413727272727274,13.674000000000001,174.23,178.73
4/1/2015,1171.8476160000005,0.0,23.442369816534175,0.0,201.22105263157903,3.0420909090909087,13.6275,172.05,174.71
5/1/2015,123.7867199999996,0.0,0.0,0.0,23.442369816534175,3.056205,13.79,166.29,173.7
6/1/2015,0.0,0.0,0.0,0.0,0.0,3.1116909090909086,14.0799,166.72,174.23
7/1/2015,0.0,0.0,0.0,0.0,0.0,3.228809090909091,14.165,179.6,172.05
8/1/2015,0.0,0.0,0.0,0.0,0.0,3.515433333333333,14.2725,162.59,166.29
9/1/2015,0.0,0.0,0.0,0.0,0.0,3.903219047619048,15.2022,165.62,166.72
10/1/2015,0.0,0.0,0.0,37.87431831880641,0.0,3.875238095238095,15.2552,171.39,179.6
11/1/2015,0.0,0.0,0.0,380.2297755217193,0.0,3.785768421052632,15.3218,166.16,162.59
12/1/2015,0.0,37.87431831880641,0.0,429.2535363429399,0.0,3.880836363636364,14.6346,163.95,165.62
1/1/2016,0.0,380.2297755217193,37.87431831880641,165.7553034635446,0.0,4.05558947368421,14.634,161.03,171.39
2/1/2016,118.07177200000001,429.2535363429399,380.2297755217193,0.0,37.87431831880641,3.964385,13.554,159.68,166.16
3/1/2016,855.4179400000002,165.7553034635446,429.2535363429399,0.0,380.2297755217193,3.6980217391304344,13.8614,159.14,163.95
4/1/2016,561.443324,0.0,165.7553034635446,0.0,429.2535363429399,3.5634476190476194,13.935,164.41,161.03
5/1/2016,151.80656399999992,0.0,0.0,0.0,165.7553034635446,3.5403047619047614,13.9821,168.96,159.68
6/1/2016,0.0,0.0,0.0,0.0,0.0,3.4234454545454542,13.614,179.87,159.14
7/1/2016,0.0,0.0,0.0,0.0,0.0,3.27814,13.690999999999999,161.76,164.41
8/1/2016,0.0,0.0,0.0,0.0,0.0,3.2085521739130436,13.6674,150.15,168.96
9/1/2016,0.0,0.0,0.0,0.0,0.0,3.2531809523809523,13.3671,148.43,179.87
10/1/2016,0.0,0.0,0.0,68.39052180844197,0.0,3.185395,12.5727,152.26,161.76
11/1/2016,0.0,0.0,0.0,491.61238728535875,0.0,3.33689,12.3966,151.8,150.15
12/1/2016,0.0,68.39052180844197,0.0,238.24178744265478,0.0,3.353966666666667,12.27,152.45,148.43
1/1/2017,32.30226285714286,491.61238728535875,68.39052180844197,35.9506973421796,0.0,3.190084210526316,10.7447,159.99,152.26
2/1/2017,595.1691931428571,238.24178744265478,491.61238728535875,0.0,68.39052180844197,3.1057263157894734,10.0616,162.86,151.8
3/1/2017,1273.7858986666668,35.9506973421796,238.24178744265478,0.0,491.61238728535875,3.1275304347826087,10.2771,158.96,152.45
4/1/2017,772.562453333333,0.0,35.9506973421796,0.0,238.24178744265478,3.138995,9.8839,156.44,159.99
5/1/2017,152.62819200000013,0.0,0.0,0.0,35.9506973421796,3.2042772727272726,11.0799,158.59,162.86
6/1/2017,0.0,0.0,0.0,0.0,0.0,3.2953954545454542,11.7515,157.93,158.96
7/1/2017,0.0,0.0,0.0,0.0,0.0,3.19941,9.5267,157.51,156.44
8/1/2017,0.0,0.0,0.0,0.0,0.0,3.147791304347826,7.6146,148.5,158.59
9/1/2017,0.0,0.0,0.0,2.274881215944385,0.0,3.132515,7.1322,147.29,157.93
10/1/2017,0.0,0.0,0.0,47.01421179618395,0.0,3.192266666666667,7.0838,148.62,157.51
11/1/2017,0.0,2.274881215944385,0.0,618.3540759703375,0.0,3.26293,6.8020000000000005,148.7,148.5
12/1/2017,0.0,47.01421179618395,2.274881215944385,284.5061336753547,0.0,3.29496,6.7314,148.98,147.29
1/1/2018,0.0,618.3540759703375,47.01421179618395,73.1391893506295,2.274881215944385,3.211523809523809,9.2838,155.84,148.62
2/1/2018,309.7693500000001,284.5061336753547,618.3540759703375,0.0,47.01421179618395,3.2506526315789475,6.6976,163.36,148.7
3/1/2018,1637.3522785714285,73.1391893506295,284.5061336753547,0.0,618.3540759703375,3.2789681818181817,6.1764,172.0,148.98
4/1/2018,1039.9399607142857,0.0,73.1391893506295,0.0,284.5061336753547,3.4088857142857143,6.14,175.6,155.84
5/1/2018,110.63191071428581,0.0,0.0,0.0,73.1391893506295,3.6316,6.4489,179.09,163.36
6/1/2018,0.0,0.0,0.0,0.0,0.0,3.771047619047619,10.074,165.07,172.0
7/1/2018,0.0,0.0,0.0,0.0,0.0,3.822095238095238,6.9472,156.46,175.6
8/1/2018,0.0,0.0,0.0,0.0,0.0,3.9333217391304345,8.1955,162.37,179.09
9/1/2018,0.0,0.0,0.0,0.0,0.0,4.108747368421053,7.8964,154.8,165.07
10/1/2018,0.0,0.0,0.0,181.70686773005943,0.0,3.761113636363637,7.1172,160.26,156.46
11/1/2018,0.0,0.0,0.0,670.6011948679176,0.0,3.78595,6.4022,160.69,162.37
12/1/2018,0.0,181.70686773005943,0.0,107.65274805139363,0.0,3.883355555555556,6.3324,167.44,154.8
1/1/2019,94.83857999999996,670.6011948679176,181.70686773005943,81.02546009797979,0.0,3.735565,6.4995,166.74,160.26
2/1/2019,849.5956124999997,107.65274805139363,670.6011948679176,0.0,181.70686773005943,3.724433333333333,6.5843,169.52,160.69
3/1/2019,1275.2401917857135,81.02546009797979,107.65274805139363,0.0,670.6011948679176,3.73586320775015,5.910311887362631,170.79959271010298,167.44
4/1/2019,372.5801357142859,0.0,81.02546009797979,0.0,107.65274805139363,3.6957914372487797,6.411489078073469,169.77749508851102,166.74
5/1/2019,0.0,0.0,0.0,0.0,81.02546009797979,3.72510284512667,5.983559877051059,169.929585606075,169.52
6/1/2019,0.0,0.0,0.0,0.000810037930498941,0.0,3.74957636594419,6.74214324047129,168.576985187654,170.79959271010298
7/1/2019,0.0,0.0,0.0,0.0128860580128629,0.0,3.73523662312877,5.840935944235441,171.254936037046,169.77749508851102
