Date,Production,Plantation,Lag3_Plantation,Lag3_Milho_Price,Exchange_Rate
1/1/2012,0.0,89.44569927774133,264.1378588177129,274.79,1.785035
2/1/2012,394.4898921442543,0.0,546.9242823645743,274.39,1.7168
3/1/2012,1835.2128,0.0,212.93785881771282,258.65,1.7953
4/1/2012,828.9853078557456,0.0,89.44569927774133,272.84,1.8522476190476191
5/1/2012,0.0,0.0,0.0,279.46,1.9810227272727277
6/1/2012,0.0,0.0,0.0,280.69,2.048195238095238
7/1/2012,0.0,0.0,0.0,274.0,2.029552380952381
8/1/2012,0.0,0.0,0.0,269.28,2.0279434782608696
9/1/2012,0.0,0.0,0.0,267.31,2.026857894736842
10/1/2012,0.0,184.3037188130317,0.0,333.05,2.0297318181818182
11/1/2012,0.0,404.85527408638694,0.0,331.99,2.06622
12/1/2012,0.0,442.59530782284014,0.0,320.85,2.07746
1/1/2013,0.0,0.0,184.3037188130317,321.24,2.028109523809524
2/1/2013,562.3916570907801,0.0,404.85527408638694,321.64,1.9729315789473685
3/1/2013,1560.275836009969,0.0,442.59530782284014,308.65,1.9842142857142857
4/1/2013,1252.1445068992523,0.0,0.0,303.13,2.001109090909091
5/1/2013,0.0,0.0,0.0,302.74,2.0364727272727277
6/1/2013,0.0,0.0,0.0,309.04,2.17336
7/1/2013,0.0,0.0,0.0,279.91,2.2518318181818184
8/1/2013,0.0,0.0,0.0,295.54,2.340790909090909
9/1/2013,0.0,0.0,0.0,298.41,2.264105
10/1/2013,0.0,273.67494756903193,0.0,279.51,2.1882227272727275
11/1/2013,0.0,677.1031323952955,0.0,238.74,2.295936842105263
12/1/2013,0.0,287.4219200356726,0.0,207.41,2.347095238095238
1/1/2014,0.0,0.0,273.67494756903193,201.73,2.3857809523809523
2/1/2014,744.2125209926257,0.0,677.1031323952955,199.13,2.3792
3/1/2014,1707.5544866534078,0.0,287.4219200356726,197.39,2.3250523809523806
4/1/2014,875.2763923539666,0.0,0.0,198.06,2.2324727272727274
5/1/2014,0.0,0.0,0.0,209.32,2.219509523809524
6/1/2014,0.0,0.0,0.0,222.33,2.236019047619048
7/1/2014,0.0,0.0,0.0,222.36,2.2242136363636362
8/1/2014,0.0,0.0,0.0,217.3,2.268519047619048
9/1/2014,0.0,0.0,0.0,202.39,2.3378809523809525
10/1/2014,0.0,70.77564348347282,0.0,182.73,2.449531818181818
11/1/2014,0.0,1013.5674779674564,0.0,176.42,2.5527277777777777
12/1/2014,0.0,235.0568785490709,0.0,163.06,2.6418857142857144
1/1/2015,12.82900429473978,139.8988001721073,70.77564348347282,163.12,2.63462
2/1/2015,782.6248658947957,0.0,1013.5674779674564,178.74,2.8169894736842105
3/1/2015,1258.9519478044708,0.0,235.0568785490709,178.73,3.1413727272727274
4/1/2015,1223.794006721691,0.0,139.8988001721073,174.71,3.0420909090909087
5/1/2015,228.76537528430302,0.0,0.0,173.7,3.056205
6/1/2015,0.0,0.0,0.0,174.23,3.1116909090909086
7/1/2015,0.0,0.0,0.0,172.05,3.228809090909091
8/1/2015,0.0,0.0,0.0,166.29,3.515433333333333
9/1/2015,0.0,0.0,0.0,166.72,3.903219047619048
10/1/2015,0.0,105.5200791618444,0.0,179.6,3.875238095238095
11/1/2015,0.0,839.344835481909,0.0,162.59,3.785768421052632
12/1/2015,0.0,384.5362851841394,0.0,165.62,3.880836363636364
1/1/2016,0.0,30.987683024089527,105.5200791618444,171.39,4.05558947368421
2/1/2016,1419.3438000000003,0.0,839.344835481909,166.16,3.964385
3/1/2016,3006.757247895347,0.0,384.5362851841394,163.95,3.6980217391304344
4/1/2016,305.044952104654,0.0,30.987683024089527,161.03,3.5634476190476194
5/1/2016,0.0,0.0,0.0,159.68,3.5403047619047614
6/1/2016,0.0,0.0,0.0,159.14,3.4234454545454542
7/1/2016,0.0,0.0,0.0,164.41,3.27814
8/1/2016,0.0,0.0,0.0,168.96,3.2085521739130436
9/1/2016,0.0,6.122680462644027,0.0,179.87,3.2531809523809523
10/1/2016,0.0,316.4574704724213,0.0,161.76,3.185395
11/1/2016,0.0,992.0646801246074,0.0,150.15,3.33689
12/1/2016,0.0,110.46748591623768,6.122680462644027,148.43,3.353966666666667
1/1/2017,183.12049709934703,50.64091229418934,316.4574704724213,152.26,3.190084210526316
2/1/2017,1761.186739917444,0.0,992.0646801246074,151.8,3.1057263157894734
3/1/2017,2505.0804690167915,0.0,110.46748591623768,152.45,3.1275304347826087
4/1/2017,617.8402939664173,0.0,50.64091229418934,159.99,3.138995
5/1/2017,0.0,0.0,0.0,162.86,3.2042772727272726
6/1/2017,0.0,0.0,0.0,158.96,3.2953954545454542
7/1/2017,0.0,0.0,0.0,156.44,3.19941
8/1/2017,0.0,0.0,0.0,158.59,3.147791304347826
9/1/2017,0.0,3.364290202398025,0.0,157.93,3.132515
10/1/2017,0.0,162.30112280152036,0.0,157.51,3.192266666666667
11/1/2017,0.0,1013.875121594419,0.0,148.5,3.26293
12/1/2017,0.0,278.3185531074732,3.364290202398025,147.29,3.29496
1/1/2018,94.65599843737918,38.992760465848285,162.30112280152036,148.62,3.211523809523809
2/1/2018,250.6610709589393,0.0,1013.875121594419,148.7,3.2506526315789475
3/1/2018,4354.277684180718,0.0,278.3185531074732,148.98,3.2789681818181817
4/1/2018,845.6512464229636,0.0,38.992760465848285,155.84,3.4088857142857143
5/1/2018,0.0,0.0,0.0,163.36,3.6316
6/1/2018,0.0,0.0,0.0,172.0,3.771047619047619
7/1/2018,0.0,0.0,0.0,175.6,3.822095238095238
