Date,Production,Plantation,Lag4_Plantation,Exchange_Rate,Lag3_Milho_Price
1/1/2012,0.0,398.53812187999483,0.0,1.785035,274.79
2/1/2012,59.200746358312976,0.0,1249.0534752450715,1.7168,274.39
3/1/2012,3228.1658730326353,0.0,2024.4450088835806,1.7953,258.65
4/1/2012,2312.753642257035,0.0,923.7015158713476,1.8522476190476191,272.84
5/1/2012,926.5257383520186,0.0,398.53812187999483,1.9810227272727277,279.46
6/1/2012,0.0,0.0,0.0,2.048195238095238,280.69
7/1/2012,0.0,0.0,0.0,2.029552380952381,274.0
8/1/2012,0.0,0.0,0.0,2.0279434782608696,269.28
9/1/2012,0.0,0.0,0.0,2.026857894736842,267.31
10/1/2012,0.0,275.3936979919138,0.0,2.0297318181818182,333.05
11/1/2012,0.0,2858.3542005875206,0.0,2.06622,331.99
12/1/2012,0.0,1086.313979540571,0.0,2.07746,320.85
1/1/2013,0.0,0.0,0.0,2.028109523809524,321.24
2/1/2013,423.75015060456514,0.0,275.3936979919138,1.9729315789473685,321.64
3/1/2013,5019.828792096674,0.0,2858.3542005875206,1.9842142857142857,308.65
4/1/2013,6546.921158825189,0.0,1086.313979540571,2.001109090909091,303.13
5/1/2013,544.3802984735721,0.0,0.0,2.0364727272727277,302.74
6/1/2013,0.0,0.0,0.0,2.17336,309.04
7/1/2013,0.0,0.0,0.0,2.2518318181818184,279.91
8/1/2013,0.0,0.0,0.0,2.340790909090909,295.54
9/1/2013,0.0,0.0,0.0,2.264105,298.41
10/1/2013,0.0,882.1716974454728,0.0,2.1882227272727275,279.51
11/1/2013,0.0,2919.781638496392,0.0,2.295936842105263,238.74
12/1/2013,0.0,1137.6466640581355,0.0,2.347095238095238,207.41
1/1/2014,0.0,0.0,0.0,2.3857809523809523,201.73
2/1/2014,373.3833378906431,0.0,882.1716974454728,2.3792,199.13
3/1/2014,4217.082176399441,0.0,2919.781638496392,2.3250523809523806,197.39
4/1/2014,8136.63080693223,0.0,1137.6466640581355,2.2324727272727274,198.06
5/1/2014,140.56167877768527,0.0,0.0,2.219509523809524,209.32
6/1/2014,0.0,0.0,0.0,2.236019047619048,222.33
7/1/2014,0.0,0.0,0.0,2.2242136363636362,222.36
8/1/2014,0.0,0.0,0.0,2.268519047619048,217.3
9/1/2014,0.0,0.0,0.0,2.3378809523809525,202.39
10/1/2014,0.0,929.6237797110358,0.0,2.449531818181818,182.73
11/1/2014,0.0,3864.175378116128,0.0,2.5527277777777777,176.42
12/1/2014,0.0,455.40084217283584,0.0,2.6418857142857144,163.06
1/1/2015,0.0,202.76189491295574,0.0,2.63462,163.12
2/1/2015,534.8773332093548,0.0,929.6237797110358,2.8169894736842105,178.74
3/1/2015,5012.711265082696,0.0,3864.175378116128,3.1413727272727274,178.73
4/1/2015,9169.496598880047,0.0,455.40084217283584,3.0420909090909087,174.71
5/1/2015,740.7589628279021,0.0,202.76189491295574,3.056205,173.7
6/1/2015,0.0,0.0,0.0,3.1116909090909086,174.23
7/1/2015,0.0,0.0,0.0,3.228809090909091,172.05
8/1/2015,0.0,0.0,0.0,3.515433333333333,166.29
9/1/2015,0.0,0.0,0.0,3.903219047619048,166.72
10/1/2015,0.0,629.5201918121272,0.0,3.875238095238095,179.6
11/1/2015,0.0,3452.3894974256505,0.0,3.785768421052632,162.59
12/1/2015,0.0,1170.328415849267,0.0,3.880836363636364,165.62
1/1/2016,8.439613730028503,231.33027478541254,0.0,4.05558947368421,171.39
2/1/2016,485.81637268792497,0.0,629.5201918121272,3.964385,166.16
3/1/2016,3395.504650003184,0.0,3452.3894974256505,3.6980217391304344,163.95
4/1/2016,10373.676870606387,0.0,1170.328415849267,3.5634476190476194,161.03
5/1/2016,1896.3369678846852,0.0,231.33027478541254,3.5403047619047614,159.68
6/1/2016,41.57552508778997,0.0,0.0,3.4234454545454542,159.14
7/1/2016,0.0,0.0,0.0,3.27814,164.41
8/1/2016,0.0,0.0,0.0,3.2085521739130436,168.96
9/1/2016,0.0,0.0,0.0,3.2531809523809523,179.87
10/1/2016,0.0,522.6349452460253,0.0,3.185395,161.76
11/1/2016,0.0,3544.8903338377168,0.0,3.33689,150.15
12/1/2016,0.0,1270.7444461308455,0.0,3.353966666666667,148.43
1/1/2017,9.423413949463603,181.14072908692563,0.0,3.190084210526316,152.26
2/1/2017,571.3148991203466,0.0,522.6349452460253,3.1057263157894734,151.8
3/1/2017,3130.04554576621,0.0,3544.8903338377168,3.1275304347826087,152.45
4/1/2017,12821.792487467454,0.0,1270.7444461308455,3.138995,159.99
5/1/2017,2089.8717861688347,0.0,181.14072908692563,3.2042772727272726,162.86
6/1/2017,91.40786752769054,0.0,0.0,3.2953954545454542,158.96
7/1/2017,0.0,0.0,0.0,3.19941,156.44
8/1/2017,0.0,0.0,0.0,3.147791304347826,158.59
9/1/2017,0.0,2.257707826808525,0.0,3.132515,157.93
10/1/2017,0.0,654.7291569011684,0.0,3.192266666666667,157.51
11/1/2017,0.0,3979.3500145542394,0.0,3.26293,148.5
12/1/2017,0.0,874.6223916308581,0.0,3.29496,147.29
1/1/2018,50.75435982507226,189.94073392597545,2.257707826808525,3.211523809523809,148.62
2/1/2018,438.71273279083977,0.0,654.7291569011684,3.2506526315789475,148.7
3/1/2018,4100.351470769071,0.0,3979.3500145542394,3.2789681818181817,148.98
4/1/2018,11482.16198771025,0.0,874.6223916308581,3.4088857142857143,155.84
5/1/2018,923.930422200061,0.0,189.94073392597545,3.6316,163.36
6/1/2018,154.3863267047127,0.0,0.0,3.771047619047619,172.0
