Date,Production,Plantation,Lag3_Plantation
1/1/2012,1682.6398297172434,275.27614667988087,2151.152077743784
2/1/2012,2470.2124160640146,0.0,1562.8476996328525
3/1/2012,5558.83995400218,0.0,151.25766609028688
4/1/2012,1230.1596002165627,0.0,275.27614667988087
5/1/2012,0.0,0.0,0.0
6/1/2012,0.0,0.0,0.0
7/1/2012,0.0,0.0,0.0
8/1/2012,0.0,0.0,0.0
9/1/2012,0.0,397.06668089630097,0.0
10/1/2012,0.0,2270.087302991362,0.0
11/1/2012,0.0,1656.1436333024253,0.0
12/1/2012,0.0,154.22623613003037,397.06668089630097
1/1/2013,1298.220173371504,0.0,2270.087302991362
2/1/2013,5247.389639808638,0.0,1656.1436333024253
3/1/2013,6974.418879774876,0.0,154.22623613003037
4/1/2013,2392.345707044986,0.0,0.0
5/1/2013,0.0,0.0,0.0
6/1/2013,0.0,0.0,0.0
7/1/2013,0.0,0.0,0.0
8/1/2013,0.0,0.0,0.0
9/1/2013,0.0,510.28674184551005,0.0
10/1/2013,0.0,2718.395062550507,0.0
11/1/2013,0.0,1750.9279188704759,0.0
12/1/2013,0.0,30.79027673350812,510.28674184551005
1/1/2014,776.2150699207785,0.0,2718.395062550507
2/1/2014,6475.211327229166,0.0,1750.9279188704759
3/1/2014,5171.117060201689,0.0,30.79027673350812
4/1/2014,2358.136542648361,0.0,0.0
5/1/2014,0.0,0.0,0.0
6/1/2014,0.0,0.0,0.0
7/1/2014,0.0,0.0,0.0
8/1/2014,0.0,0.0,0.0
9/1/2014,0.0,804.5146875980893,0.0
10/1/2014,0.0,2022.1206687315992,0.0
11/1/2014,0.0,2251.7960148942047,0.0
12/1/2014,0.0,146.36862877610747,804.5146875980893
1/1/2015,2588.8396268487986,218.26194467920644,2022.1206687315992
2/1/2015,3952.197766893697,0.0,2251.7960148942047
3/1/2015,6467.727165879489,0.0,146.36862877610747
4/1/2015,4168.884307080924,0.0,218.26194467920644
5/1/2015,32.84233329709241,0.0,0.0
6/1/2015,0.0,0.0,0.0
7/1/2015,0.0,0.0,0.0
8/1/2015,0.0,0.0,0.0
9/1/2015,0.0,875.5563348585224,0.0
10/1/2015,0.0,2858.0944685106915,0.0
11/1/2015,0.0,972.4803325301361,0.0
12/1/2015,0.0,526.9069194214428,875.5563348585224
1/1/2016,3120.2195416077807,0.0,2858.0944685106915
2/1/2016,6011.151729845075,0.0,972.4803325301361
3/1/2016,4782.340963036062,0.0,526.9069194214428
4/1/2016,2862.33181733492,0.0,0.0
5/1/2016,68.47294817616057,0.0,0.0
6/1/2016,0.0,0.0,0.0
7/1/2016,0.0,0.0,0.0
8/1/2016,0.0,0.0,0.0
9/1/2016,0.0,932.0825925218692,0.0
10/1/2016,0.0,2482.785069287609,0.0
11/1/2016,0.0,1670.6849949070927,0.0
12/1/2016,0.0,164.04734328342963,932.0825925218692
1/1/2017,994.616090591391,207.04664788732381,2482.785069287609
2/1/2017,7230.262782043318,0.0,1670.6849949070927
3/1/2017,8569.484256179154,0.0,164.04734328342963
4/1/2017,2563.383547771406,0.0,207.04664788732381
5/1/2017,228.51092341473495,0.0,0.0
6/1/2017,0.0,0.0,0.0
7/1/2017,0.0,0.0,0.0
8/1/2017,0.0,0.0,0.0
9/1/2017,0.0,634.6812194744247,0.0
10/1/2017,0.0,3143.4911815384844,0.0
11/1/2017,0.0,1346.1959753178705,0.0
12/1/2017,0.0,133.38497578189708,634.6812194744247
1/1/2018,112.62840860424762,69.12574935769341,3143.4911815384844
2/1/2018,5469.630753133357,0.0,1346.1959753178705
3/1/2018,10325.67815738319,0.0,133.38497578189708
4/1/2018,3193.9047242503,0.0,69.12574935769341
5/1/2018,68.67635662890461,0.0,0.0
6/1/2018,0.0,0.0,0.0
7/1/2018,0.0,0.0,0.0
8/1/2018,0.0,0.0,0.0
9/1/2018,0.0,1301.260259326779,0.0
10/1/2018,0.0,2376.1161621532474,0.0
11/1/2018,0.0,1713.9069570674571,0.0
12/1/2018,0.0,74.39087209482321,1301.260259326779
1/1/2019,3734.0540218343604,111.385142450897,2376.1161621532474
2/1/2019,5316.023606225499,0.0,1713.9069570674571
3/1/2019,5414.875038003622,0.0,74.39087209482321
4/1/2019,2227.81693976956,0.0,111.385142450897
5/1/2019,0.0,0.0,0.0
6/1/2019,0.0,0.0,0.0
7/1/2019,0.0,0.0,0.0
8/1/2019,0.0,0.0,0.0
9/1/2019,0.0,740.232648174914,0.0
10/1/2019,0.0,2344.26869262746,0.0
11/1/2019,0.0,1274.1440768431098,0.0
12/1/2019,0.0,92.79143946353399,740.232648174914
