Date,Production,Lag2_Plantation,Lag3_Plantation,Plantation,Lag4_Plantation,Exchange_Rate,Interest_Rate
1/1/2012,5493.632583400002,1964.0727100000006,4805.58104,756.6291361961204,82.95651000000002,1.785035,9.8589
2/1/2012,9954.486516900002,127.88973999999962,1964.0727100000006,0.0,4805.58104,1.7168,9.3174
3/1/2012,5921.591098200001,756.6291361961204,127.88973999999962,0.0,1964.0727100000006,1.7953,8.9862
4/1/2012,414.9395614999994,0.0,756.6291361961204,0.0,127.88973999999962,1.8522476190476191,8.4999
5/1/2012,64.31523999999989,0.0,0.0,0.0,756.6291361961204,1.9810227272727277,7.9716
6/1/2012,0.0,0.0,0.0,0.0,0.0,2.048195238095238,7.6076
7/1/2012,0.0,0.0,0.0,0.0,0.0,2.029552380952381,7.2953
8/1/2012,0.0,0.0,0.0,0.0,0.0,2.0279434782608696,8.277000000000001
9/1/2012,0.0,0.0,0.0,238.36763761386842,0.0,2.026857894736842,7.5788
10/1/2012,0.0,0.0,0.0,3814.335155593986,0.0,2.0297318181818182,7.2399
11/1/2012,0.0,238.36763761386842,0.0,2853.8184140372423,0.0,2.06622,7.1409
12/1/2012,0.0,3814.335155593986,238.36763761386842,155.04965655878337,0.0,2.07746,7.0357
1/1/2013,5107.526967013187,2853.8184140372423,3814.335155593986,0.0,238.36763761386842,2.028109523809524,7.3737
2/1/2013,9803.747239035252,155.04965655878337,2853.8184140372423,0.0,3814.335155593986,1.9729315789473685,7.8862
3/1/2013,8248.203999599613,0.0,155.04965655878337,0.0,2853.8184140372423,1.9842142857142857,8.0275
4/1/2013,373.3037943519522,0.0,0.0,0.0,155.04965655878337,2.001109090909091,7.7476
5/1/2013,0.0,0.0,0.0,0.0,0.0,2.0364727272727277,8.0224
6/1/2013,0.0,0.0,0.0,0.0,0.0,2.17336,8.6295
7/1/2013,0.0,0.0,0.0,0.0,0.0,2.2518318181818184,9.01
8/1/2013,0.0,0.0,0.0,0.0,0.0,2.340790909090909,10.2779
9/1/2013,0.0,0.0,0.0,175.89676,0.0,2.264105,10.1777
10/1/2013,0.0,0.0,0.0,5472.45198,0.0,2.1882227272727275,9.9838
11/1/2013,0.0,175.89676,0.0,2904.9622011764714,0.0,2.295936842105263,10.1783
12/1/2013,0.0,5472.45198,175.89676,62.38905882352992,0.0,2.347095238095238,10.5595
1/1/2014,2878.5676293000015,2904.9622011764714,5472.45198,0.0,175.89676,2.3857809523809523,11.9399
2/1/2014,14659.523485818756,62.38905882352992,2904.9622011764714,0.0,5472.45198,2.3792,11.2757
3/1/2014,8686.490560481254,0.0,62.38905882352992,0.0,2904.9622011764714,2.3250523809523806,11.5092
4/1/2014,217.0016243999999,0.0,0.0,0.0,62.38905882352992,2.2324727272727274,11.3251
5/1/2014,0.0,0.0,0.0,0.0,0.0,2.219509523809524,11.1667
6/1/2014,0.0,0.0,0.0,0.0,0.0,2.236019047619048,10.9004
7/1/2014,0.0,0.0,0.0,0.0,0.0,2.2242136363636362,10.9307
8/1/2014,0.0,0.0,0.0,0.0,0.0,2.268519047619048,11.3251
9/1/2014,0.0,0.0,0.0,277.1757792463229,0.0,2.3378809523809525,11.6598
10/1/2014,0.0,0.0,0.0,2990.1228233399115,0.0,2.449531818181818,11.6777
11/1/2014,0.0,277.1757792463229,0.0,5362.738146088086,0.0,2.5527277777777777,11.8799
12/1/2014,0.0,2990.1228233399115,277.1757792463229,304.4632513256802,0.0,2.6418857142857144,12.8928
1/1/2015,3413.37474395149,5362.738146088086,2990.1228233399115,201.3106308796106,277.1757792463229,2.63462,12.6768
2/1/2015,12747.476470194793,304.4632513256802,5362.738146088086,0.0,2990.1228233399115,2.8169894736842105,13.2199
3/1/2015,10626.430015923253,201.3106308796106,304.4632513256802,0.0,5362.738146088086,3.1413727272727274,13.674000000000001
4/1/2015,1624.4287699304664,0.0,201.3106308796106,0.0,304.4632513256802,3.0420909090909087,13.6275
5/1/2015,0.0,0.0,0.0,0.0,201.3106308796106,3.056205,13.79
6/1/2015,0.0,0.0,0.0,0.0,0.0,3.1116909090909086,14.0799
7/1/2015,0.0,0.0,0.0,0.0,0.0,3.228809090909091,14.165
8/1/2015,0.0,0.0,0.0,0.0,0.0,3.515433333333333,14.2725
9/1/2015,0.0,0.0,0.0,83.57537201200758,0.0,3.903219047619048,15.2022
10/1/2015,0.0,0.0,0.0,3365.4054275240187,0.0,3.875238095238095,15.2552
11/1/2015,0.0,83.57537201200758,0.0,4730.005717436828,0.0,3.785768421052632,15.3218
12/1/2015,0.0,3365.4054275240187,83.57537201200758,759.7028521475348,0.0,3.880836363636364,14.6346
1/1/2016,3405.545199169766,4730.005717436828,3365.4054275240187,193.9707708357088,83.57537201200758,4.05558947368421,14.634
2/1/2016,12348.728727824768,759.7028521475348,4730.005717436828,0.0,3365.4054275240187,3.964385,13.554
3/1/2016,9272.386767341173,193.9707708357088,759.7028521475348,0.0,4730.005717436828,3.6980217391304344,13.8614
4/1/2016,1817.5193056642972,0.0,193.9707708357088,0.0,759.7028521475348,3.5634476190476194,13.935
5/1/2016,0.0,0.0,0.0,0.0,193.9707708357088,3.5403047619047614,13.9821
6/1/2016,0.0,0.0,0.0,0.0,0.0,3.4234454545454542,13.614
7/1/2016,0.0,0.0,0.0,0.0,0.0,3.27814,13.690999999999999
8/1/2016,0.0,0.0,0.0,0.0,0.0,3.2085521739130436,13.6674
9/1/2016,0.0,0.0,0.0,830.914956304969,0.0,3.2531809523809523,13.3671
10/1/2016,0.0,0.0,0.0,5844.502808510927,0.0,3.185395,12.5727
11/1/2016,0.0,830.914956304969,0.0,2276.487492745102,0.0,3.33689,12.3966
12/1/2016,0.0,5844.502808510927,830.914956304969,176.92397160328827,0.0,3.353966666666667,12.27
1/1/2017,8812.022847827498,2276.487492745102,5844.502808510927,191.8535246644185,830.914956304969,3.190084210526316,10.7447
2/1/2017,14981.942620318903,176.92397160328827,2276.487492745102,0.0,5844.502808510927,3.1057263157894734,10.0616
3/1/2017,6330.0482973781745,191.8535246644185,176.92397160328827,0.0,2276.487492745102,3.1275304347826087,10.2771
4/1/2017,920.910234475425,0.0,191.8535246644185,0.0,176.92397160328827,3.138995,9.8839
5/1/2017,0.0,0.0,0.0,0.0,191.8535246644185,3.2042772727272726,11.0799
6/1/2017,0.0,0.0,0.0,0.0,0.0,3.2953954545454542,11.7515
7/1/2017,0.0,0.0,0.0,0.0,0.0,3.19941,9.5267
8/1/2017,0.0,0.0,0.0,0.0,0.0,3.147791304347826,7.6146
9/1/2017,0.0,0.0,0.0,567.4480996264044,0.0,3.132515,7.1322
10/1/2017,0.0,0.0,0.0,4427.592041950183,0.0,3.192266666666667,7.0838
11/1/2017,0.0,567.4480996264044,0.0,4057.593051363236,0.0,3.26293,6.8020000000000005
12/1/2017,0.0,4427.592041950183,567.4480996264044,274.11328239575863,0.0,3.29496,6.7314
1/1/2018,6393.5042286838525,4057.593051363236,4427.592041950183,283.5274372664101,567.4480996264044,3.211523809523809,9.2838
2/1/2018,15332.714700236436,274.11328239575863,4057.593051363236,0.0,4427.592041950183,3.2506526315789475,6.6976
3/1/2018,9310.600931975958,283.5274372664101,274.11328239575863,0.0,4057.593051363236,3.2789681818181817,6.1764
4/1/2018,1269.3085391037566,0.0,283.5274372664101,0.0,274.11328239575863,3.4088857142857143,6.14
5/1/2018,0.0,0.0,0.0,0.0,283.5274372664101,3.6316,6.4489
6/1/2018,0.0,0.0,0.0,0.0,0.0,3.771047619047619,10.074
