Date,Production,Plantation,Lag4_Plantation,Exchange_Rate,Lag3_Milho_Price
1/1/2012,0.0,57.05306051673314,0.0,1.785035,274.79
2/1/2012,16.88508349788573,0.0,124.17026096469667,1.7168,274.39
3/1/2012,429.18327390008864,0.0,242.72209364020776,1.7953,258.65
4/1/2012,609.5471110674599,0.0,81.40764539509566,1.8522476190476191,272.84
5/1/2012,29.270531534565635,0.0,57.05306051673314,1.9810227272727277,279.46
6/1/2012,0.0,0.0,0.0,2.048195238095238,280.69
7/1/2012,0.0,0.0,0.0,2.029552380952381,274.0
8/1/2012,0.0,0.0,0.0,2.0279434782608696,269.28
9/1/2012,0.0,7.372858525399636,0.0,2.026857894736842,267.31
10/1/2012,0.0,128.45867607839384,0.0,2.0297318181818182,333.05
11/1/2012,0.0,277.67840715215095,0.0,2.06622,331.99
12/1/2012,0.0,41.93699772732255,0.0,2.07746,320.85
1/1/2013,0.0,0.0,7.372858525399636,2.028109523809524,321.24
2/1/2013,93.81673015002579,0.0,128.45867607839384,1.9729315789473685,321.64
3/1/2013,743.0525505315612,0.0,277.67840715215095,1.9842142857142857,308.65
4/1/2013,671.6074481146093,0.0,41.93699772732255,2.001109090909091,303.13
5/1/2013,70.02327120380369,0.0,0.0,2.0364727272727277,302.74
6/1/2013,0.0,0.0,0.0,2.17336,309.04
7/1/2013,0.0,0.0,0.0,2.2518318181818184,279.91
8/1/2013,0.0,0.0,0.0,2.340790909090909,295.54
9/1/2013,0.0,0.0,0.0,2.264105,298.41
10/1/2013,0.0,126.24263744449884,0.0,2.1882227272727275,279.51
11/1/2013,0.0,354.938831563612,0.0,2.295936842105263,238.74
12/1/2013,0.0,61.518530991889236,0.0,2.347095238095238,207.41
1/1/2014,0.0,0.0,0.0,2.3857809523809523,201.73
2/1/2014,138.4429027869389,0.0,126.24263744449884,2.3792,199.13
3/1/2014,704.6657883908402,0.0,354.938831563612,2.3250523809523806,197.39
4/1/2014,719.6515632918185,0.0,61.518530991889236,2.2324727272727274,198.06
5/1/2014,81.62074553040225,0.0,0.0,2.219509523809524,209.32
6/1/2014,0.0,0.0,0.0,2.236019047619048,222.33
7/1/2014,0.0,0.0,0.0,2.2242136363636362,222.36
8/1/2014,0.0,0.0,0.0,2.268519047619048,217.3
9/1/2014,0.0,0.0,0.0,2.3378809523809525,202.39
10/1/2014,0.0,168.5926071952792,0.0,2.449531818181818,182.73
11/1/2014,0.0,388.42270084241346,0.0,2.5527277777777777,176.42
12/1/2014,0.0,43.084691962307375,0.0,2.6418857142857144,163.06
1/1/2015,0.0,36.9889405605707,0.0,2.63462,163.12
2/1/2015,151.83615875940563,0.0,168.5926071952792,2.8169894736842105,178.74
3/1/2015,986.0507291817072,0.0,388.42270084241346,3.1413727272727274,178.73
4/1/2015,769.6551228336114,0.0,43.084691962307375,3.0420909090909087,174.71
5/1/2015,12.77798922527563,0.0,36.9889405605707,3.056205,173.7
6/1/2015,0.0,0.0,0.0,3.1116909090909086,174.23
7/1/2015,0.0,0.0,0.0,3.228809090909091,172.05
8/1/2015,0.0,0.0,0.0,3.515433333333333,166.29
9/1/2015,0.0,49.061847303371515,0.0,3.903219047619048,166.72
10/1/2015,0.0,160.7516393694721,0.0,3.875238095238095,179.6
11/1/2015,0.0,314.133607234516,0.0,3.785768421052632,162.59
12/1/2015,0.0,78.16396553206978,0.0,3.880836363636364,165.62
1/1/2016,55.0487895452185,5.595295344390277,49.061847303371515,4.05558947368421,171.39
2/1/2016,147.98717503487742,0.0,160.7516393694721,3.964385,166.16
3/1/2016,1052.4219713999933,0.0,314.133607234516,3.6980217391304344,163.95
4/1/2016,846.4803953752902,0.0,78.16396553206978,3.5634476190476194,161.03
5/1/2016,33.29476864462049,0.0,5.595295344390277,3.5403047619047614,159.68
6/1/2016,0.0,0.0,0.0,3.4234454545454542,159.14
7/1/2016,0.0,0.0,0.0,3.27814,164.41
8/1/2016,0.0,0.0,0.0,3.2085521739130436,168.96
9/1/2016,0.0,6.112077731409049,0.0,3.2531809523809523,179.87
10/1/2016,0.0,129.70955463369546,0.0,3.185395,161.76
11/1/2016,0.0,401.674204922701,0.0,3.33689,150.15
12/1/2016,0.0,97.3088673678041,0.0,3.353966666666667,148.43
1/1/2017,15.510301761808352,45.03208465902833,6.112077731409049,3.190084210526316,152.26
2/1/2017,221.40276159436888,0.0,129.70955463369546,3.1057263157894734,151.8
3/1/2017,627.5144795023766,0.0,401.674204922701,3.1275304347826087,152.45
4/1/2017,1236.579344627914,0.0,97.3088673678041,3.138995,159.99
5/1/2017,191.62511251353226,0.0,45.03208465902833,3.2042772727272726,162.86
6/1/2017,0.0,0.0,0.0,3.2953954545454542,158.96
7/1/2017,0.0,0.0,0.0,3.19941,156.44
8/1/2017,0.0,0.0,0.0,3.147791304347826,158.59
9/1/2017,0.0,21.429766122281055,0.0,3.132515,157.93
10/1/2017,0.0,236.28632715222318,0.0,3.192266666666667,157.51
11/1/2017,0.0,353.32747749435106,0.0,3.26293,148.5
12/1/2017,0.0,22.124344572116346,0.0,3.29496,147.29
1/1/2018,53.943712918236045,9.856774563162416,21.429766122281055,3.211523809523809,148.62
2/1/2018,347.8355951430014,0.0,236.28632715222318,3.2506526315789475,148.7
3/1/2018,930.931557612401,0.0,353.32747749435106,3.2789681818181817,148.98
4/1/2018,852.6537956754397,0.0,22.124344572116346,3.4088857142857143,155.84
5/1/2018,120.51533865092188,0.0,9.856774563162416,3.6316,163.36
6/1/2018,0.0,0.0,0.0,3.771047619047619,172.0
