Zonas,Estado,Region,2015,2016,2017,2018,2019,Total-2015,Total-2016,Total-2017,Total-2018,Total-2019
RS,RS,RS,6172.96,5892.68,6036.75,4828,5028,6172.96,5892.68,6036.75,4828.0,5028.0
SC,SC,SC,3189.125,2712.1,3263.2456,2551,2656,3189.125,2712.1,3263.2456,2551.0,2656.0
PR,PR,PR,15862.9145,14484.8826,17837.8119,11358,16156,15862.9145,14484.8826,17837.8119,11358.0,16156.0
SP,SP,SP,4166.222400000001,3828.5361000000003,4883.3019,4019,5363,4166.222400000001,3828.5361000000003,4883.3019,4019.0,5363.0
RJ,RJ,RJ,6.224399999999999,5.2,6.296399999999999,6.758412174230251,7.021101945525238,6.224399999999999,5.2,6.296399999999999,6.758412174230251,7.021101945525238
MG_Triângulo,MG,Triângulo,2623.577673106189,2164.959476327868,3093.1591657240106,2927.071927625236,3181.323411247813,6864.492,5921.001,7520.8628,6722.0,7290.0
MG_Noroeste,MG,Noroeste,1229.1908789173963,755.6178091863466,1242.2313468968428,1227.6432025121378,1468.219206502897,6864.492,5921.001,7520.8628,6722.0,7290.0
MG_Sul,MG,Sul,2066.580867785129,2131.7002293383007,2161.6559648821253,1641.2573213810088,1700.679610780375,6864.492,5921.001,7520.8628,6722.0,7290.0
MG_Outros,MG,Outros,945.142580191286,868.723485147485,1023.8163224970201,926.0275484816168,939.7777714689149,6864.492,5921.001,7520.8628,6722.0,7290.0
ES,ES,ES,24.261400000000002,39.576,37.382400000000004,40.243647736983036,41.80786050583627,24.261400000000002,39.576,37.382400000000004,40.243647736983036,41.80786050583627
MS_Sul,MS,Sul,7786.425651038808,4936.946843976317,8037.033426594081,5453.52977326956,8109.800003598974,9282.85,6269.535,9870.574,6619.0,9869.0
MS_Norte,MS,Norte,1496.4243489611922,1332.588156023683,1833.5405734059193,1165.4702267304403,1759.199996401025,9282.85,6269.535,9870.574,6619.0,9869.0
MT_Médio Norte,MT,Médio Norte,9547.699718343818,7892.586167702713,14312.665999315821,12276.001833852015,11931.520515032662,20763.400399999995,17544.799759999998,29749.879520000006,26811.0,27739.0
MT_Oeste,MT,Oeste,3288.881902350501,3020.1066952900956,4307.275182099578,4183.729000026688,4202.223440439586,20763.400399999995,17544.799759999998,29749.879520000006,26811.0,27739.0
