Zonas,Estado,Region,2015,2016,2017,2018,2019,Total-2015,Total-2016,Total-2017,Total-2018,Total-2019,Ratio-2012,Ratio-2013,Ratio-2014,Ratio-2015,Ratio-2016,Ratio-2017,Ratio-2018,Ratio-2019
RS,RS,RS,15457.844159999999,16201.35,18713.856,18339.9462,18598.72,15457.844159999999,16201.35,18713.856,18339.9462,18598.72,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0
SC,SC,SC,1920.32,2135.2331,2292.632,2337.864,2408.7,1920.32,2135.2331,2292.632,2337.864,2408.7,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0
PR,PR,PR,17210.4912,16844.517,19586.2576,18893.952,19441.8,17210.4912,16844.517,19586.2576,18893.952,19441.8,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0
SP,SP,SP,2366.496,2843.8016000000002,3084.3085,3346.368,3302.3100000000004,2366.496,2843.8016000000002,3084.3085,3346.368,3302.3100000000004,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0
RJ,RJ,RJ,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0
MG_Triângulo,MG,Triângulo,1828.4030052049702,2538.0290952772134,2948.981305909184,3035.438008705881,2778.851914185327,3506.9652000000006,4731.146,5067.228,5362.56,5110.05,0.5213633158392817,0.5213633158392817,0.5213633158392817,0.5213633158392817,0.5364512309020295,0.5819713077661364,0.5660427125674828,0.5438013158746641
MG_Noroeste,MG,Noroeste,1366.0550739481648,1665.2030580179776,1550.9389182401796,1759.5539929737995,1737.5807648280338,3506.9652000000006,4731.146,5067.228,5362.56,5110.05,0.3895262701632068,0.3895262701632068,0.3895262701632068,0.3895262701632068,0.3519661109629628,0.3060724558358494,0.328118285478167,0.34003204759797534
MG_Sul,MG,Sul,209.75683350310933,401.27244335938076,423.49282291250097,437.1387349924396,457.3378806376428,3506.9652000000006,4731.146,5067.228,5362.56,5110.05,0.05981149556405901,0.05981149556405901,0.05981149556405901,0.05981149556405901,0.08481506243083194,0.08357485057165397,0.08151680074301072,0.08949773106674941
MG_Outros,MG,Outros,102.75028734375599,126.64140334542815,143.81495293813543,130.4292633278798,136.27944034899605,3506.9652000000006,4731.146,5067.228,5362.56,5110.05,0.029298918433452368,0.029298918433452368,0.029298918433452368,0.029298918433452368,0.026767595704175723,0.028381385826360177,0.02432220121133932,0.026668905460611157
ES,ES,ES,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0
