Year,Month,UF,Zonas,Conf,Low,High
2019,4,BA,BA_OESTE NORTE,70,24.177583488143025,419.098862214713
2019,4,BA,BA_OESTE NORTE,75,20.632560876726266,489.9118262756583
2019,4,BA,BA_OESTE NORTE,80,17.17927592420363,586.4056539472987
2019,4,BA,BA_OESTE NORTE,85,13.76603803465207,728.1194472784297
2019,4,BA,BA_OESTE NORTE,90,10.302224591779956,964.6341420056636
2019,4,BA,BA_OESTE NORTE,95,6.563154636762227,1485.3152083853615
2019,4,BA,BA_OESTE SUL,70,13.742128368683062,238.20868477397818
2019,4,BA,BA_OESTE SUL,75,11.72719764494617,278.4575724582945
2019,4,BA,BA_OESTE SUL,80,9.764409050524383,333.30302743519763
2019,4,BA,BA_OESTE SUL,85,7.824382527440583,413.85074389844453
2019,4,BA,BA_OESTE SUL,90,5.855609717682225,548.2816847580007
2019,4,BA,BA_OESTE SUL,95,3.7303857751596667,844.227971401644
2019,4,BA,BA_OUTROS,70,23.42324161865202,406.022955791739
2019,4,BA,BA_OUTROS,75,19.98882389814156,474.62655166995717
2019,4,BA,BA_OUTROS,80,16.64328161676919,568.1097668709234
2019,4,BA,BA_OUTROS,85,13.33653692790845,705.4020824374758
2019,4,BA,BA_OUTROS,90,9.98079464563622,934.537506317806
2019,4,BA,BA_OUTROS,95,6.358383868795207,1438.973296191105
2019,4,GO,GO_LESTE,70,154.308806983631,873.6926819098829
2019,4,GO,GO_LESTE,75,140.26841133129207,960.9736778382251
2019,4,GO,GO_LESTE,80,125.66968498976394,1072.352819658752
2019,4,GO,GO_LESTE,85,110.08836249376924,1223.7199908036694
2019,4,GO,GO_LESTE,90,92.68080191341446,1452.8069921989963
2019,4,GO,GO_LESTE,95,71.15007497162942,1890.506363228181
2019,4,GO,GO_NOROESTE,70,22.844996142516038,129.34780806187595
2019,4,GO,GO_NOROESTE,75,20.766354030072595,142.26952040140202
2019,4,GO,GO_NOROESTE,80,18.605052588650423,158.75889722301534
2019,4,GO,GO_NOROESTE,85,16.29828047839714,181.16839223826761
2019,4,GO,GO_NOROESTE,90,13.721138822762383,215.0840952073922
2019,4,GO,GO_NOROESTE,95,10.533573682797153,279.88428800393257
2019,4,GO,GO_SUDOESTE,70,464.23323143381486,2628.4771746445203
2019,4,GO,GO_SUDOESTE,75,421.9931391687893,2891.0593277608623
2019,4,GO,GO_SUDOESTE,80,378.07332644504453,3226.1400009408017
2019,4,GO,GO_SUDOESTE,85,331.1974038472156,3681.523412731773
2019,4,GO,GO_SUDOESTE,90,278.8273009505271,4370.7245090017805
2019,4,GO,GO_SUDOESTE,95,214.0527806967074,5687.529410688186
2019,4,MA,MA_OUTROS,70,6.275393717015901,67.97435364194706
2019,4,MA,MA_OUTROS,75,5.491070970579162,77.39859496046927
2019,4,MA,MA_OUTROS,80,4.705048127477781,89.87866285416345
2019,4,MA,MA_OUTROS,85,3.901737816665197,107.59820223590415
2019,4,MA,MA_OUTROS,90,3.051722335076154,135.936965941588
2019,4,MA,MA_OUTROS,95,2.0782960224594462,194.58146308319036
2019,4,MA,MA_SUL,70,23.475000924608295,254.27854992868095
2019,4,MA,MA_SUL,75,20.541005381369438,289.5327640294087
2019,4,MA,MA_SUL,80,17.600650114330918,336.2182181307586
2019,4,MA,MA_SUL,85,14.595625865742406,402.5034939441458
2019,4,MA,MA_SUL,90,11.415886853968845,508.51317782889305
2019,4,MA,MA_SUL,95,7.774492446036533,727.8905885066326
2019,4,MG,MG_NOROESTE,70,85.72768462559314,3118.6692036641443
2019,4,MG,MG_NOROESTE,75,70.33677154302238,3799.265095098578
2019,4,MG,MG_NOROESTE,80,55.994395225248425,4769.117006267389
2019,4,MG,MG_NOROESTE,85,42.53911558579263,6270.861125905147
2019,4,MG,MG_NOROESTE,90,29.74644189119368,8950.406497081594
2019,4,MG,MG_NOROESTE,95,17.149635153652063,15451.742319394552
2019,4,MG,MG_OUTROS,70,54.872577646307285,1996.1978301245185
2019,4,MG,MG_OUTROS,75,45.021161772201175,2431.8336584056474
2019,4,MG,MG_OUTROS,80,35.84089332605375,3052.616484087403
2019,4,MG,MG_OUTROS,85,27.22843773491796,4013.852882452782
2019,4,MG,MG_OUTROS,90,19.04010296679116,5728.976323367311
2019,4,MG,MG_OUTROS,95,10.977138723441907,9890.35145291425
2019,4,MG,MG_SUL,70,99.3007887898576,3612.442272890138
2019,4,MG,MG_SUL,75,81.47306118972192,4400.795640436928
2019,4,MG,MG_SUL,80,64.85988322164759,5524.20239298163
2019,4,MG,MG_SUL,85,49.274254291839945,7263.714853767722
2019,4,MG,MG_SUL,90,34.45614046836575,10367.50763807205
2019,4,MG,MG_SUL,95,19.864904851373012,17898.18781639452
2019,4,MG,MG_TRIÂNGULO,70,185.75393162242395,6757.5027663518995
2019,4,MG,MG_TRIÂNGULO,75,152.40504755034655,8232.211470222248
2019,4,MG,MG_TRIÂNGULO,80,121.32812296676225,10333.67736630858
2019,4,MG,MG_TRIÂNGULO,85,92.17335102787446,13587.64224045485
2019,4,MG,MG_TRIÂNGULO,90,64.45430734772943,19393.655663429046
2019,4,MG,MG_TRIÂNGULO,95,37.159666327089525,33480.68828383188
2019,4,PR,PR,70,240.779051819935,1750.7823927413099
2019,4,PR,PR,75,215.87151898215998,1952.30303995267
2019,4,PR,PR,80,190.35222994740897,2213.2994785837
2019,4,PR,PR,85,163.583931113065,2574.26027044292
2019,4,PR,PR,90,134.321221680523,3132.7341884267
2019,4,PR,PR,95,99.22670025428991,4234.32418247259
2019,4,RS,RS,70,267.909062642066,4616.84619984896
2019,4,RS,RS,75,228.88520586865897,5396.77529670689
2019,4,RS,RS,80,190.872333218537,6459.58348279225
2019,4,RS,RS,85,153.30160259908,8020.51143670423
2019,4,RS,RS,90,115.175836398265,10625.7546526461
2019,4,RS,RS,95,74.02289747256691,16361.5034791246
2019,4,SC,SC,70,452.17278731444196,2421.2430588065
2019,4,SC,SC,75,412.250024494197,2654.81696691472
2019,4,SC,SC,80,370.59870517531306,2951.86656078432
2019,4,SC,SC,85,325.96600962142,3353.94336466539
2019,4,SC,SC,90,275.85187174637,3959.3900097540295
2019,4,SC,SC,95,213.42552482458902,5107.72971586944
2019,4,SP,SP,70,51.5310359374697,281.046297132244
2019,4,SP,SP,75,46.7168999867678,307.72101350626497
2019,4,SP,SP,80,41.6790247126061,341.541316441281
2019,4,SP,SP,85,36.2611602174948,387.154469238257
2019,4,SP,SP,90,30.1505409084273,455.527116453413
2019,4,SP,SP,95,22.4899376693014,584.35952209505
2019,5,BA,BA_OESTE NORTE,70,67.65174071769765,1162.0809842372614
2019,5,BA,BA_OESTE NORTE,75,57.82756404283509,1358.3220653420692
2019,5,BA,BA_OESTE NORTE,80,48.25761620301876,1625.7314770696685
2019,5,BA,BA_OESTE NORTE,85,38.7986491565744,2018.457136552449
2019,5,BA,BA_OESTE NORTE,90,29.199524140573207,2673.900670175769
2019,5,BA,BA_OESTE NORTE,95,18.837591971377513,4116.842887496579
2019,5,BA,BA_OESTE SUL,70,38.45210195482892,660.5071209050161
2019,5,BA,BA_OESTE SUL,75,32.86820656475442,772.0472228789763
2019,5,BA,BA_OESTE SUL,80,27.428810532439947,924.0381968634874
2019,5,BA,BA_OESTE SUL,85,22.052494100687028,1147.2568005314172
2019,5,BA,BA_OESTE SUL,90,16.59651425631521,1519.7997877944797
2019,5,BA,BA_OESTE SUL,95,10.706967764354758,2339.943669780832
2019,5,BA,BA_OUTROS,70,65.54100286863445,1125.8239967438926
2019,5,BA,BA_OUTROS,75,56.02334101990248,1315.942345853415
2019,5,BA,BA_OUTROS,80,46.751976053265295,1575.008569947684
2019,5,BA,BA_OUTROS,85,37.58812927344178,1955.481168312234
2019,5,BA,BA_OUTROS,90,28.288497460042883,2590.474829402111
2019,5,BA,BA_OUTROS,95,18.24985811652943,3988.39717406629
2019,5,GO,GO_LESTE,70,12.883857826097376,74.35826748748069
2019,5,GO,GO_LESTE,75,11.684046342654986,81.81679955410827
2019,5,GO,GO_LESTE,80,10.436523128785998,91.33462060995349
2019,5,GO,GO_LESTE,85,9.10503289725547,104.26958873000096
2019,5,GO,GO_LESTE,90,7.617482859479338,123.84604667231703
2019,5,GO,GO_LESTE,95,5.777590731702121,161.2493182509805
2019,5,GO,GO_NOROESTE,70,1.9074198556219941,11.008537795874934
2019,5,GO,GO_NOROESTE,75,1.729791052400831,12.112753035572913
2019,5,GO,GO_NOROESTE,80,1.5450986581970478,13.521840368669897
2019,5,GO,GO_NOROESTE,85,1.347975177057443,15.436826963293747
2019,5,GO,GO_NOROESTE,90,1.1277474691314775,18.335067931638342
2019,5,GO,GO_NOROESTE,95,0.8553564800275637,23.87251982200705
2019,5,GO,GO_SUDOESTE,70,38.760684298320726,223.70452778625233
2019,5,GO,GO_SUDOESTE,75,35.151088884048974,246.14328880532076
2019,5,GO,GO_SUDOESTE,80,31.397954217376746,274.7773564994125
2019,5,GO,GO_SUDOESTE,85,27.39220739780898,313.69180452246025
2019,5,GO,GO_SUDOESTE,90,22.916959520158283,372.5869674638315
2019,5,GO,GO_SUDOESTE,95,17.38170145767931,485.1135430403083
2019,5,MA,MA_OUTROS,70,46.23485701287534,489.7910600449907
2019,5,MA,MA_OUTROS,75,40.59633053229165,557.5422944383739
2019,5,MA,MA_OUTROS,80,34.945581991201976,647.2619839638559
2019,5,MA,MA_OUTROS,85,29.170553177845978,774.6484361375327
2019,5,MA,MA_OUTROS,90,23.059759090054595,978.3769016288669
2019,5,MA,MA_OUTROS,95,16.061759777243534,1399.9744538810523
2019,5,MA,MA_SUL,70,172.95541285057362,1832.2110302409094
2019,5,MA,MA_SUL,75,151.86280570686236,2085.654935396286
2019,5,MA,MA_SUL,80,130.724478263419,2421.2784658937144
2019,5,MA,MA_SUL,85,109.12124301690802,2897.8058707720875
2019,5,MA,MA_SUL,90,86.2619765979704,3659.9135777053034
2019,5,MA,MA_SUL,95,60.08385172698367,5237.026245886848
2019,5,MG,MG_NOROESTE,70,32.00849618657754,1347.481171262821
2019,5,MG,MG_NOROESTE,75,26.034341449028858,1654.4614051969572
2019,5,MG,MG_NOROESTE,80,20.51360382181433,2095.625091235489
2019,5,MG,MG_NOROESTE,85,15.38509622378289,2785.6040526826205
2019,5,MG,MG_NOROESTE,90,10.568745568392199,4032.393305191712
2019,5,MG,MG_NOROESTE,95,5.9074486958150025,7113.758339972686
2019,5,MG,MG_OUTROS,70,20.487998713721872,862.495768082161
2019,5,MG,MG_OUTROS,75,16.664061660727814,1058.9876807705812
2019,5,MG,MG_OUTROS,80,13.130347838439645,1341.3677394716353
2019,5,MG,MG_OUTROS,85,9.847692619046919,1783.009483345623
2019,5,MG,MG_OUTROS,90,6.764842820128299,2581.054366578852
2019,5,MG,MG_OUTROS,95,3.781239848812056,4553.37454373149
2019,5,MG,MG_SUL,70,37.076341594736114,1560.8253479638818
2019,5,MG,MG_SUL,75,30.156310097534764,1916.4091888863068
