Produto,UF,Type,Years,Month,Percentage,Yearly_value,Monthly_Value
Milho 2 Safra,AP,Producao,2012,1,0.0,0,0.0
Milho 2 Safra,AP,Producao,2012,2,0.0,0,0.0
Milho 2 Safra,AP,Producao,2012,3,0.0,0,0.0
Milho 2 Safra,AP,Producao,2012,4,0.0,0,0.0
Milho 2 Safra,AP,Producao,2012,5,0.25,0,0.0
Milho 2 Safra,AP,Producao,2012,6,0.25,0,0.0
Milho 2 Safra,AP,Producao,2012,7,0.25,0,0.0
Milho 2 Safra,AP,Producao,2012,8,0.25,0,0.0
Milho 2 Safra,AP,Producao,2012,9,0.0,0,0.0
Milho 2 Safra,AP,Producao,2012,10,0.0,0,0.0
Milho 2 Safra,AP,Producao,2012,11,0.0,0,0.0
Milho 2 Safra,AP,Producao,2012,12,0.0,0,0.0
Milho 2 Safra,AP,Producao,2013,1,0.0,0,0.0
Milho 2 Safra,AP,Producao,2013,2,0.0,0,0.0
Milho 2 Safra,AP,Producao,2013,3,0.0,0,0.0
Milho 2 Safra,AP,Producao,2013,4,0.0,0,0.0
Milho 2 Safra,AP,Producao,2013,5,0.25,0,0.0
Milho 2 Safra,AP,Producao,2013,6,0.25,0,0.0
Milho 2 Safra,AP,Producao,2013,7,0.25,0,0.0
Milho 2 Safra,AP,Producao,2013,8,0.25,0,0.0
Milho 2 Safra,AP,Producao,2013,9,0.0,0,0.0
Milho 2 Safra,AP,Producao,2013,10,0.0,0,0.0
Milho 2 Safra,AP,Producao,2013,11,0.0,0,0.0
Milho 2 Safra,AP,Producao,2013,12,0.0,0,0.0
Milho 2 Safra,AP,Producao,2014,1,0.0,0,0.0
Milho 2 Safra,AP,Producao,2014,2,0.0,0,0.0
Milho 2 Safra,AP,Producao,2014,3,0.0,0,0.0
Milho 2 Safra,AP,Producao,2014,4,0.0,0,0.0
Milho 2 Safra,AP,Producao,2014,5,0.25,0,0.0
Milho 2 Safra,AP,Producao,2014,6,0.25,0,0.0
Milho 2 Safra,AP,Producao,2014,7,0.25,0,0.0
