Ano,Mes,UF,Produto,Plantation,Lag1_Plantation,Lag2_Plantation,Lag3_Plantation,Lag4_Plantation
2018,4,BA,Soja,0.0,0.0,0.0,19.0,464.6817741176319
2018,5,BA,Soja,0.0,0.0,0.0,0.0,19.0
2018,6,BA,Soja,0.0,0.0,0.0,0.0,0.0
2018,7,BA,Soja,0.0,0.0,0.0,0.0,0.0
2018,8,BA,Soja,0.0,0.0,0.0,0.0,0.0
2018,9,BA,Soja,0.0,0.0,0.0,0.0,0.0
2018,10,BA,Soja,57.11785714285715,0.0,0.0,0.0,0.0
2018,11,BA,Soja,1154.6777767306946,57.11785714285715,0.0,0.0,0.0
2018,12,BA,Soja,387.5043661264481,1154.6777767306946,57.11785714285715,0.0,0.0
2019,1,BA,Soja,60.0,387.5043661264481,1154.6777767306946,57.11785714285715,0.0
2019,2,BA,Soja,0.0,60.0,387.5043661264481,1154.6777767306946,57.11785714285715
2019,3,BA,Soja,0.0,0.0,60.0,387.5043661264481,1154.6777767306946
2019,4,BA,Soja,0.0,0.0,0.0,60.0,387.5043661264481
2019,5,BA,Soja,0.0,0.0,0.0,0.0,60.0
2019,6,BA,Soja,0.0,0.0,0.0,0.0,0.0
2019,7,BA,Soja,0.0,0.0,0.0,0.0,0.0
2019,8,BA,Soja,0.0,0.0,0.0,0.0,0.0
2019,9,BA,Soja,0.0,0.0,0.0,0.0,0.0
2019,10,BA,Soja,298.99117538071374,0.0,0.0,0.0,0.0
2019,11,BA,Soja,1344.9010389050006,298.99117538071374,0.0,0.0,0.0
2019,12,BA,Soja,15.407785714285637,1344.9010389050006,298.99117538071374,0.0,0.0
2012,1,GO,Soja,0.0,0.0,0.0,0.0,0.0
2012,2,GO,Soja,0.0,0.0,0.0,0.0,0.0
2012,3,GO,Soja,0.0,0.0,0.0,0.0,0.0
2012,4,GO,Soja,0.0,0.0,0.0,0.0,0.0
2012,5,GO,Soja,0.0,0.0,0.0,0.0,0.0
2012,6,GO,Soja,0.0,0.0,0.0,0.0,0.0
2012,7,GO,Soja,0.0,0.0,0.0,0.0,0.0
2012,8,GO,Soja,0.0,0.0,0.0,0.0,0.0
2012,9,GO,Soja,0.0,0.0,0.0,0.0,0.0
2012,10,GO,Soja,1614.370689887351,0.0,0.0,0.0,0.0
2012,11,GO,Soja,879.9125170788539,1614.370689887351,0.0,0.0,0.0
2012,12,GO,Soja,150.41679303379487,879.9125170788539,1614.370689887351,0.0,0.0
2013,1,GO,Soja,243.30000000000018,150.41679303379487,879.9125170788539,1614.370689887351,0.0
2013,2,GO,Soja,0.0,243.30000000000018,150.41679303379487,879.9125170788539,1614.370689887351
2013,3,GO,Soja,0.0,0.0,243.30000000000018,150.41679303379487,879.9125170788539
2013,4,GO,Soja,0.0,0.0,0.0,243.30000000000018,150.41679303379487
2013,5,GO,Soja,0.0,0.0,0.0,0.0,243.30000000000018
