States,Year,value
PA_Nordeste,2016/17,0.0
PA_Noroeste,2016/17,0.33769196449306205
PA_Sudeste,2016/17,0.0
PA_Outros,2016/17,13.134076632953668
AP,2016/17,0.2844687426244985
RO,2016/17,91.32018578268841
AC,2016/17,0.0
AM,2016/17,370.8764112111945
RR,2016/17,1.5516476870427194
RS,2017/18,7370.615965466238
SC,2017/18,1016.1079401238546
PR,2017/18,9124.361909084671
SP,2017/18,3258.429036116825
RJ,2017/18,0.0
MG,2017/18,2539.2234417070727
MG_Triângulo,2017/18,2570.8100438825068
MG_Noroeste,2017/18,0.0
MG_Sul,2017/18,0.0
MG_Outros,2017/18,0.0
ES,2017/18,0.0
MS,2017/18,2314.9761758347536
MS_Sul,2017/18,1731.085980024826
MS_Norte,2017/18,583.8901958099274
MT,2017/18,10203.95468288782
MT_Médio Norte,2017/18,2637.1865152244304
MT_Oeste,2017/18,245.54682086441323
MT_Sudeste,2017/18,7126.473202774256
MT_Nordeste,2017/18,99.24102598588149
MT_Nordeste_Sul,2017/18,48.46290304300741
MT_Norte,2017/18,47.04421499583218
GO,2017/18,5871.114658150444
GO_Sudoeste,2017/18,3528.672531321185
GO_Leste,2017/18,2355.2805037882827
GO_Noroeste,2017/18,0.0
DF,2017/18,0.29529243290668594
BA,2017/18,1961.3955576017597
BA_Oeste Norte,2017/18,1977.0144753977168
BA_Oeste Sul,2017/18,0.0
BA_Outros,2017/18,0.0
SE,2017/18,0.0
PB,2017/18,0.0
AL,2017/18,0.0
PE,2017/18,121.75146702594417
RN,2017/18,0.0
CE,2017/18,0.0
PI,2017/18,602.6555067342041
PI_Sul,2017/18,603.214485174537
PI_Outros,2017/18,0.0
MA,2017/18,328.07593932761284
MA_Sul,2017/18,335.0091409548718
MA_Outros,2017/18,0.0
TO,2017/18,71.81185893332437
TO_Centro,2017/18,93.5763848803438
TO_Leste,2017/18,0.0
TO_Norte,2017/18,0.0
TO_Sul,2017/18,0.0
PA,2017/18,0.0
PA_Nordeste,2017/18,0.0
PA_Noroeste,2017/18,0.48812894190050216
PA_Sudeste,2017/18,0.0
PA_Outros,2017/18,13.981532206731462
AP,2017/18,0.38818961386757017
RO,2017/18,91.39652930546399
AC,2017/18,0.031055169109405614
AM,2017/18,388.86323516968156
RR,2017/18,2.0703446072937077
RS,2018/19,7367.244049395868
SC,2018/19,1034.5435817025177
PR,2018/19,10112.83553327197
SP,2018/19,3309.4497340614903
