Ano,Mes,Estado_Production,Biodiesel_Production (m3)
2013,4,PI,0
2013,4,PR,9130.611
2013,4,RJ,294.269
2013,4,RN,0
2013,4,RO,1173.303
2013,4,RS,67625.225
2013,4,SC,0
2013,4,SP,19489.187
2013,4,TO,8309.711
2013,5,BA,15700.278
2013,5,CE,6917.91
2013,5,GO,47637.635
2013,5,MA,0
2013,5,MG,5875.81
2013,5,MS,18789.058
2013,5,MT,33354.322
2013,5,PA,0
2013,5,PI,0
2013,5,PR,11951.626
2013,5,RJ,362.831
2013,5,RN,0
2013,5,RO,907.617
2013,5,RS,86458.181
2013,5,SC,2917.432
2013,5,SP,11187.421
2013,5,TO,3873.806
2013,6,BA,15793.151
2013,6,CE,6460.47
2013,6,GO,48056.35
2013,6,MA,0
2013,6,MG,8382.93
2013,6,MS,17730.519
2013,6,MT,36129.24
2013,6,PA,0
2013,6,PI,0
2013,6,PR,13599.893
2013,6,RJ,393.738
2013,6,RN,0
2013,6,RO,1117.058
2013,6,RS,78270.811
2013,6,SC,2211.092
2013,6,SP,5018.097
2013,6,TO,3277.636
2013,7,BA,16279.577
2013,7,CE,7133.74
2013,7,GO,50355.199
2013,7,MA,0
2013,7,MG,7131.88
2013,7,MS,13683.131
2013,7,MT,37949.407
2013,7,PA,0
2013,7,PI,0
2013,7,PR,21169.608
2013,7,RJ,822.133
2013,7,RN,0
2013,7,RO,1060.493
2013,7,RS,88813.913
2013,7,SC,4162.328
2013,7,SP,10406.896
2013,7,TO,1702.337
2013,8,BA,15498.744
2013,8,CE,6677.417
2013,8,GO,46842.942
2013,8,MA,0
2013,8,MG,7715.403
2013,8,MS,11489.081
2013,8,MT,39565.911
2013,8,PA,0
2013,8,PI,0
2013,8,PR,23813.724
2013,8,RJ,746.573
2013,8,RN,0
2013,8,RO,1232.957
2013,8,RS,78819.097
2013,8,SC,3383.34
2013,8,SP,9769.62
2013,8,TO,2055.662
2013,9,BA,16094.294
2013,9,CE,6251
2013,9,GO,47369.469
2013,9,MA,0
2013,9,MG,7511
2013,9,MS,20329.742
2013,9,MT,26596.536
2013,9,PA,0
2013,9,PI,0
2013,9,PR,23702.33
2013,9,RJ,855.316
2013,9,RN,0
2013,9,RO,940.814
2013,9,RS,81748.069
2013,9,SC,5594.646
2013,9,SP,11544.377
2013,9,TO,4176.069
2013,10,BA,14966.631
2013,10,CE,7564.159
2013,10,GO,56374.947
2013,10,MA,0
2013,10,MG,8949.487
2013,10,MS,20536.538
2013,10,MT,37457.32
2013,10,PA,0
2013,10,PI,0
2013,10,PR,21809.297
2013,10,RJ,1087.377
2013,10,RN,0
2013,10,RO,1195.632
2013,10,RS,84527.03
2013,10,SC,5282.371
2013,10,SP,13452.924
2013,10,TO,4788.292
2013,11,BA,11295.713
2013,11,CE,6371.6
2013,11,GO,48190.63
2013,11,MA,0
2013,11,MG,6085.32
2013,11,MS,16543.553
2013,11,MT,36689.797
2013,11,PA,0
2013,11,PI,0
2013,11,PR,25190.451
2013,11,RJ,729.557
2013,11,RN,0
2013,11,RO,1567.722
2013,11,RS,81184.192
2013,11,SC,7275.281
2013,11,SP,17015.064
2013,11,TO,7036.634
2013,12,BA,8496.97
2013,12,CE,5680.276
2013,12,GO,39911.045
2013,12,MA,0
2013,12,MG,5161.261
2013,12,MS,14262.277
2013,12,MT,29680.825
2013,12,PA,0
2013,12,PI,0
2013,12,PR,25884.874
2013,12,RJ,870
2013,12,RN,0
2013,12,RO,1390.432
2013,12,RS,54934.639
2013,12,SC,7531.218
2013,12,SP,15946.636
2013,12,TO,4613.819
2014,1,BA,6166
2014,1,CE,4309.5
2014,1,GO,41711.908
2014,1,MA,0
2014,1,MG,4979.953
2014,1,MS,17860.187
2014,1,MT,47000.562
2014,1,PA,0
2014,1,PI,0
2014,1,PR,26690.874
2014,1,RJ,1207.45
2014,1,RN,0
2014,1,RO,991.37
2014,1,RS,67150.084
2014,1,SC,7966.584
2014,1,SP,14108.473
2014,1,TO,5072.499
2014,2,BA,6166
2014,2,CE,4309.5
2014,2,GO,41337.014
2014,2,MA,0
2014,2,MG,4979.953
2014,2,MS,14524.823
2014,2,MT,49794.272
2014,2,PA,0
2014,2,PI,0
2014,2,PR,22923.524
2014,2,RJ,1014.76
2014,2,RN,0
2014,2,RO,871.305
2014,2,RS,70795.108
2014,2,SC,6256.164
2014,2,SP,12916.425
2014,2,TO,4639.7
2014,3,BA,12607.455
2014,3,CE,6063.9
2014,3,GO,49482.828
2014,3,MA,0
2014,3,MG,7823.935
2014,3,MS,17108.085
2014,3,MT,52735.69
2014,3,PA,0
2014,3,PI,0
2014,3,PR,26240.05
2014,3,RJ,982.986
2014,3,RN,0
2014,3,RO,738.094
2014,3,RS,77236.103
2014,3,SC,1604.605
2014,3,SP,14633.378
2014,3,TO,4581.769
2014,4,BA,9694.121
2014,4,CE,5748.1
2014,4,GO,52124.903
2014,4,MA,0
2014,4,MG,7217.754
2014,4,MS,19527.959
2014,4,MT,42708.676
2014,4,PA,0
2014,4,PI,0
2014,4,PR,26130.827
2014,4,RJ,1062.073
2014,4,RN,0
2014,4,RO,624.952
2014,4,RS,62425.818
2014,4,SC,2131.766
2014,4,SP,15856.512
2014,4,TO,7971.01
2014,5,BA,10119.792
2014,5,CE,5450.2
2014,5,GO,53322.303
2014,5,MA,0
2014,5,MG,4854.014
2014,5,MS,20610.461
2014,5,MT,48975.134
2014,5,PA,0
2014,5,PI,0
2014,5,PR,25049.869
2014,5,RJ,1051.108
2014,5,RN,0
2014,5,RO,908.068
2014,5,RS,54093.255
2014,5,SC,9825.547
2014,5,SP,5096.791
2014,5,TO,3169.063
2014,6,BA,9861.57
2014,6,CE,5920
2014,6,GO,52105.705
2014,6,MA,0
2014,6,MG,4651.633
2014,6,MS,19094.834
2014,6,MT,53052.787
2014,6,PA,0
2014,6,PI,0
2014,6,PR,26291.731
2014,6,RJ,968.524
2014,6,RN,0
2014,6,RO,1227.755
2014,6,RS,63145.679
2014,6,SC,7716.148
2014,6,SP,5509.538
2014,6,TO,1971.385
2014,7,BA,8984.724
2014,7,CE,6238.7
2014,7,GO,56510.859
2014,7,MA,0
2014,7,MG,6924.445
2014,7,MS,18188.482
2014,7,MT,65164.677
2014,7,PA,0
2014,7,PI,0
2014,7,PR,26672.458
2014,7,RJ,1773.382
2014,7,RN,0
2014,7,RO,740.187
2014,7,RS,96313.506
2014,7,SC,0
2014,7,SP,8842.424
2014,7,TO,6617.441
2014,8,BA,19576.157
2014,8,CE,7400
2014,8,GO,59580.583
2014,8,MA,0
