Year,Month,lag1,lag2,lag3,lag4,lag5,lag6,lag7,lag8,lag9,lag10,lag11,lag12,lag13,lag6_sum_prod,lag9_sum_prod,lag12_sum_prod,CBOT_lag1,CBOT_lag2,CBOT_lag3,Year,Month,US_EXPORT,Inflation Rate,Interest_Rate,Real_vs_USD,Yaun_vs_USD,CBOT,Soya_Price_Metric_Ton,Soya_Price_Metric_Ton_lag_1,Soya_Price_Metric_Ton_lag_2
2013,5,2392.346,6974.419,5247.39,1298.22,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1230.16,15912.375,15912.375,15912.375,14.04,14.45,14.58,2013,5,2.09,6.51,7.5,2.04,6.14,14.38,497.0,495.0,511.0
2013,6,0.0,2392.346,6974.419,5247.39,1298.22,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,15912.375,15912.375,15912.375,14.38,14.04,14.45,2013,6,1.68,6.7,8.0,2.17,6.13,15.13,524.0,497.0,495.0
2013,7,0.0,0.0,2392.346,6974.419,5247.39,1298.22,0.0,0.0,0.0,0.0,0.0,0.0,0.0,15912.375,15912.375,15912.375,15.13,14.38,14.04,2013,7,1.08,6.27,8.5,2.25,6.13,14.25,509.0,524.0,497.0
2013,8,0.0,0.0,0.0,2392.346,6974.419,5247.39,1298.22,0.0,0.0,0.0,0.0,0.0,0.0,14614.155,15912.375,15912.375,14.25,15.13,14.38,2013,8,1.28,6.09,8.5,2.34,6.12,12.96,516.0,509.0,524.0
2013,9,0.0,0.0,0.0,0.0,2392.346,6974.419,5247.39,1298.22,0.0,0.0,0.0,0.0,0.0,9366.765,15912.375,15912.375,12.96,14.25,15.13,2013,9,3.05,5.86,9.0,2.26,6.12,13.44,556.0,516.0,509.0
2013,10,0.0,0.0,0.0,0.0,0.0,2392.346,6974.419,5247.39,1298.22,0.0,0.0,0.0,0.0,2392.346,15912.375,15912.375,13.44,12.96,14.25,2013,10,24.9,5.84,9.5,2.19,6.1,12.86,544.0,556.0,516.0
2013,11,0.0,0.0,0.0,0.0,0.0,0.0,2392.346,6974.419,5247.39,1298.22,0.0,0.0,0.0,-0.0,14614.155,15912.375,12.86,13.44,12.96,2013,11,24.86,5.77,9.5,2.3,6.09,12.93,553.0,544.0,556.0
2013,12,0.0,0.0,0.0,0.0,0.0,0.0,0.0,2392.346,6974.419,5247.39,1298.22,0.0,0.0,-0.0,9366.765,15912.375,12.93,12.86,13.44,2013,12,19.18,5.91,10.0,2.35,6.07,13.28,568.0,553.0,544.0
2014,1,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,2392.346,6974.419,5247.39,1298.22,0.0,-0.0,2392.346,15912.375,13.28,12.93,12.86,2014,1,25.28,5.59,10.0,2.39,6.05,12.9,566.0,568.0,553.0
2014,2,776.215,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,2392.346,6974.419,5247.39,1298.22,776.215,776.215,15390.37,12.9,13.28,12.93,2014,2,17.68,5.68,10.5,2.38,6.08,13.51,591.0,566.0,568.0
