Date,Production,Lag3_Plantation,Plantation,Lag4_Plantation,Soya_Price,Lag1_Soya_Price,Lag3_Soya_Price,Lag6_Soya_Price
10/1/2013,0.0,0.0,271.1751670208102,0.0,544.0,556.0,509.0,495.0
11/1/2013,0.0,0.0,27.93483297918982,0.0,553.0,544.0,516.0,497.0
12/1/2013,0.0,128.19,0.0,0.0,568.0,553.0,556.0,524.0
1/1/2014,119.9843401960718,271.1751670208102,0.0,128.19,566.0,568.0,544.0,509.0
2/1/2014,634.1416818626823,27.93483297918982,0.0,271.1751670208102,591.0,566.0,553.0,516.0
3/1/2014,1418.7769383333896,0.0,0.0,27.93483297918982,500.0,591.0,568.0,556.0
4/1/2014,74.69503960785643,0.0,0.0,0.0,516.0,500.0,566.0,544.0
5/1/2014,0.0,0.0,0.0,0.0,521.25,516.0,591.0,553.0
6/1/2014,0.0,0.0,0.0,0.0,516.0,521.25,500.0,568.0
7/1/2014,0.0,0.0,0.0,0.0,480.0,516.0,516.0,566.0
8/1/2014,0.0,0.0,0.0,0.0,460.0,480.0,521.25,591.0
9/1/2014,0.0,0.0,52.83757502420137,0.0,432.0,460.0,516.0,500.0
10/1/2014,0.0,0.0,274.52545498547926,0.0,424.0,432.0,480.0,516.0
11/1/2014,0.0,0.0,65.23696999031945,0.0,449.0,424.0,460.0,521.25
12/1/2014,0.0,52.83757502420137,0.0,0.0,446.0,449.0,432.0,516.0
1/1/2015,137.43247568489835,274.52545498547926,0.0,52.83757502420137,433.21,446.0,424.0,480.0
2/1/2015,987.9825490605035,65.23696999031945,0.0,274.52545498547926,423.55,433.21,449.0,460.0
3/1/2015,673.0441054883139,0.0,0.0,65.23696999031945,409.79,423.55,446.0,432.0
4/1/2015,513.562269766284,0.0,0.0,0.0,394.73,409.79,433.21,424.0
5/1/2015,0.0,0.0,0.0,0.0,388.2,394.73,423.55,449.0
6/1/2015,0.0,0.0,0.0,0.0,391.48,388.2,409.79,446.0
7/1/2015,0.0,0.0,0.0,0.0,405.87,391.48,394.73,433.21
8/1/2015,0.0,0.0,0.0,0.0,378.78,405.87,388.2,423.55
9/1/2015,0.0,0.0,335.85601648029274,0.0,367.49,378.78,391.48,409.79
10/1/2015,0.0,0.0,48.14398351970726,0.0,375.95,367.49,405.87,394.73
11/1/2015,0.0,0.0,0.0,0.0,368.0,375.95,378.78,388.2
12/1/2015,0.0,335.85601648029274,0.0,0.0,368.42,368.0,367.49,391.48
1/1/2016,206.82800904962147,48.14398351970726,0.0,335.85601648029274,373.08,368.42,375.95,405.87
2/1/2016,1153.2956765349034,0.0,0.0,48.14398351970726,373.75,373.08,368.0,378.78
3/1/2016,996.9687831198688,0.0,0.0,0.0,380.97,373.75,368.42,367.49
4/1/2016,9.883531295606645,0.0,0.0,0.0,395.14,380.97,373.08,375.95
5/1/2016,0.0,0.0,0.0,0.0,422.55,395.14,373.75,368.0
6/1/2016,0.0,0.0,0.0,0.0,457.4,422.55,380.97,368.42
7/1/2016,0.0,0.0,0.0,0.0,431.08,457.4,395.14,373.08
8/1/2016,0.0,0.0,35.88136363636364,0.0,412.17,431.08,422.55,373.75
9/1/2016,0.0,0.0,208.45363636363635,0.0,403.53,412.17,457.4,380.97
10/1/2016,0.0,0.0,131.565,0.0,401.87,403.53,431.08,395.14
11/1/2016,0.0,35.88136363636364,0.0,0.0,397.76,401.87,412.17,422.55
12/1/2016,0.0,208.45363636363635,0.0,35.88136363636364,416.07,397.76,403.53,457.4
1/1/2017,60.67723692321324,131.565,0.0,208.45363636363635,412.0,416.07,401.87,431.08
2/1/2017,1302.0542291588158,0.0,0.0,131.565,394.53,412.0,397.76,412.17
3/1/2017,796.6581522756247,0.0,0.0,0.0,383.68,394.53,416.07,403.53
4/1/2017,191.86488164234606,0.0,0.0,0.0,387.44,383.68,412.0,401.87
5/1/2017,0.0,0.0,0.0,0.0,389.72,387.44,394.53,397.76
6/1/2017,0.0,0.0,0.0,0.0,378.59,389.72,383.68,416.07
7/1/2017,0.0,0.0,0.0,0.0,410.23,378.59,387.44,412.0
8/1/2017,0.0,0.0,45.23142857142857,0.0,392.87,410.23,389.72,394.53
9/1/2017,0.0,0.0,221.32472527472532,0.0,393.95,392.87,378.59,383.68
10/1/2017,0.0,0.0,85.2438461538461,0.0,396.52,393.95,410.23,387.44
11/1/2017,0.0,45.23142857142857,0.0,0.0,393.85,396.52,392.87,389.72
12/1/2017,0.0,221.32472527472532,0.0,45.23142857142857,387.15,393.85,393.95,378.59
1/1/2018,95.53782342857149,85.2438461538461,0.0,221.32472527472532,389.53,387.15,396.52,410.23
2/1/2018,458.0115645661306,0.0,0.0,85.2438461538461,416.28,389.53,393.85,392.87
3/1/2018,1499.6492723784302,0.0,0.0,0.0,430.11,416.28,387.15,393.95
4/1/2018,213.80053962686816,0.0,0.0,0.0,439.07,430.11,389.53,396.52
5/1/2018,0.0,0.0,0.0,0.0,430.32,439.07,416.28,393.85
6/1/2018,0.0,0.0,0.0,0.0,394.44,430.32,430.11,387.15
7/1/2018,0.0,0.0,0.0,0.0,377.17,394.44,439.07,389.53
8/1/2018,0.0,0.0,0.0,0.0,376.77,377.17,430.32,416.28
9/1/2018,0.0,0.0,327.77595082157546,0.0,356.87,376.77,394.44,430.11
10/1/2018,0.0,0.0,21.02404917842455,0.0,367.96,356.87,377.17,439.07
11/1/2018,0.0,0.0,0.0,0.0,374.04,367.96,376.77,430.32
12/1/2018,0.0,327.77595082157546,0.0,0.0,380.53,374.04,356.87,394.44
1/1/2019,167.424,21.02404917842455,0.0,327.77595082157546,382.35,380.53,367.96,377.17
2/1/2019,973.485324922487,0.0,0.0,21.02404917842455,380.75,382.35,374.04,376.77
3/1/2019,827.4606262273869,0.0,0.0,0.0,363.803071324242,380.75,380.53,356.87
4/1/2019,124.43004885012623,0.0,0.0,0.0,369.51807217983804,363.803071324242,382.35,367.96
5/1/2019,0.0,0.0,0.0,0.0,370.63768379245005,369.51807217983804,380.75,374.04
6/1/2019,0.0,0.0,0.0103691625230116,0.0,369.65859785761705,370.63768379245005,363.803071324242,380.53
7/1/2019,0.0,0.0,0.0425117409141009,0.0,375.94162402083504,369.65859785761705,369.51807217983804,382.35
8/1/2019,0.0,0.0,0.0735513316059073,0.0,373.153579417723,375.94162402083504,370.63768379245005,380.75
9/1/2019,0.0,0.0103691625230116,349.540927897259,0.0,367.679791222964,373.153579417723,369.65859785761705,363.803071324242
10/1/2019,0.0,0.0425117409141009,19.635104878889,0.0103691625230116,361.18066873260597,367.679791222964,375.94162402083504,369.51807217983804
11/1/2019,0.0,0.0735513316059073,0.0,0.0425117409141009,363.07582677412995,361.18066873260597,373.153579417723,370.63768379245005
12/1/2019,0.0,349.540927897259,0.0,0.0735513316059073,369.576379599759,363.07582677412995,367.679791222964,369.65859785761705
