"Date","Predicted Export"
"1/1/2015",23700.4254411829
"2/1/2015",12700.7400287572
"3/1/2015",45790.1862263908
"4/1/2015",22033.2466833449
"5/1/2015",74023.7281644191
"6/1/2015",90022.7701420886
"7/1/2015",32266.0024003623
"8/1/2015",63379.4670611971
"9/1/2015",14932.7188547039
"10/1/2015",41157.2595427154
"11/1/2015",35850.762414421
"12/1/2015",901.237100700302
"1/1/2016",120474.266098381
"2/1/2016",71916.3097129311
"3/1/2016",76356.2023668849
"4/1/2016",58910.5167345744
"5/1/2016",46248.7785631466
"6/1/2016",57697.4521103974
"7/1/2016",25048.4869273664
"8/1/2016",44310.9012760996
"9/1/2016",9123.44389638028
"10/1/2016",22936.6096303817
"11/1/2016",10972.7641179737
"12/1/2016",0
"1/1/2017",33722.9085149067
"2/1/2017",0
"3/1/2017",17129.6591748178
"4/1/2017",28442.0278310927
"5/1/2017",52511.7632523354
"6/1/2017",55686.001196109
"7/1/2017",32757.2849000205
"8/1/2017",39609.2236865296
"9/1/2017",20852.4010929385
"10/1/2017",22772.2493567035
"11/1/2017",23299.4624231826
"12/1/2017",0
"1/1/2018",27056.5507701072
"2/1/2018",1252.68528530324
"3/1/2018",47089.9193355715
"4/1/2018",38679.0477771282
"5/1/2018",54262.9993865986
"6/1/2018",48817.4645626914
"7/1/2018",40597.1063880237
"8/1/2018",42400.6114740742
"9/1/2018",32972.7601027788
"10/1/2018",37409.3036443068
"11/1/2018",38987.3317356603
"12/1/2018",15881.2129978951
"1/1/2019",65862.6807451686
"2/1/2019",38184.1524037677
"3/1/2019",32965.9714184538
"4/1/2019",44437.4334356625
"5/1/2019",59736.2964823404
"6/1/2019",61780.3909729629
"7/1/2019",55223.5899922459
"8/1/2019",54883.2522604553
"9/1/2019",34534.1141474813
"10/1/2019",39117.5487399974
"11/1/2019",32503.5781333317
"12/1/2019",11701.2922765732
