"Year","Point.Forecast","Lo.70","Hi.70","Lo.75","Hi.75","Lo.80","Hi.80","Lo.85","Hi.85","Lo.90","Hi.90","Lo.95","Hi.95"
"Apr 2019","419757.696902508","357865.060980763","481650.332824253","351062.345996077","488453.047808938","343227.352294511","496288.041510505","333793.274941726","505722.11886329","321532.063003168","517983.330801848","302714.635047738","536800.758757277"
"May 2019","349456.474602885","287396.48450362","411516.464702149","280575.375363407","418337.573842362","272719.196283204","426193.752922565","263259.609720276","435653.339485493","250965.244159986","447947.705045784","232096.934946526","466816.014259243"
"Jun 2019","311044.106727589","248984.116627731","373104.096827447","242163.007487453","379925.205967725","234306.828407175","387781.385048003","224847.241844156","397240.971611022","212552.876283749","409535.337171429","193684.567070108","428403.64638507"
"Jul 2019","391072.588070188","329012.597969491","453132.578170885","322191.48882912","459953.687311255","314335.309748736","467809.866391639","304875.72318559","477269.452954786","292581.357625016","489563.81851536","273713.048411121","508432.127729255"
"Aug 2019","348982.486872269","286922.496770752","411042.476973786","280101.387630291","417863.586114247","272245.208549803","425719.765194735","262785.621986532","435179.351758006","250491.256425795","447473.717318742","231622.94721165","466342.026532887"
"Sep 2019","258332.705674089","196272.715571715","320392.695776464","189451.606431159","327213.804917019","181595.427350563","335069.983997616","172135.840787161","344529.570561018","159841.475226254","356823.936121924","140973.166011849","375692.24533633"
"Oct 2019","264325.229352798","202265.239249809","326385.219455786","195444.130109186","333206.328596409","187587.951028512","341062.507677083","178128.364465016","350522.094240579","165833.998903988","362816.459801607","146965.689689396","381684.769016199"
"Nov 2019","240691.975434481","178631.985360231","302751.965508731","171810.876222767","309573.074646195","163954.69714573","317429.253723231","154495.110586615","326888.840282346","142200.74503128","339183.205837681","123332.435825426","358051.515043536"
"Dec 2019","296267.107343623","234198.480323236","358335.734364011","227376.421885713","365157.792801533","219519.149456979","373015.065230268","210058.246398465","382475.968288781","197762.169824921","394772.044862325","178891.234699048","413642.979988199"
