"Year","Point.Forecast","Lo.70","Hi.70","Lo.75","Hi.75","Lo.80","Hi.80","Lo.85","Hi.85","Lo.90","Hi.90","Lo.95","Hi.95"
"Apr 2019",1204.85939364437,383.156046428596,3758.89857578308,337.479951518798,4258.75672113038,291.465196880332,4917.2250963265,244.148326523002,5846.34758411008,193.693595130304,7320.69478980083,135.280490624131,10337.2922880854
"May 2019",1045.26153106254,318.455491301782,3397.14238332451,279.094659114607,3866.0770958372,239.629713041839,4486.76701356166,199.274158097739,5367.54014215213,156.542306987432,6775.14947478345,107.557711839327,9685.0536275111
"Jun 2019",1.3790752887293,0,19.2299480415473,0,22.7891818668461,0,27.5002439640608,0,34.1853483678185,0,44.8691613077105,0,66.9554539459109
"Jul 2019",0,0,14.7673808648917,0,17.7118061728593,0,21.6090973167705,0,27.1394422053022,0,35.9777739221484,0,54.248964351071
"Aug 2019",8.10987203690275e-13,0,14.7673808806362,0,17.711806190773,0,21.6090973375553,0,27.1394422301611,0,35.9777739535184,0,54.2489643959012
"Sep 2019",4.35726266224009e-09,0,14.7673808947333,0,17.7118062068123,0,21.6090973561652,0,27.1394422524189,0,35.977773981606,0,54.2489644360406
"Oct 2019",0,0,14.1998406012819,0,17.0660758060684,0,20.8598732067881,0,26.2433581168065,0,34.8469852660009,0,52.6329787157322
"Nov 2019",0,0,13.7947067234392,0,16.6051265760087,0,20.325045832392,0,25.6036959731264,0,34.0397812266403,0,51.4794208644903
"Dec 2019",0,0,13.6953830884563,0,16.4920267309257,0,20.1936955818943,0,25.4464211805953,0,33.8410210578155,0,51.1947375241633
