Ano,Mes,Estado,UF.1,Produção Med (Kt)
2012,6,MATO GROSSO DO SUL,MS,0.0
2012,6,MATO GROSSO,MT,0.0
2012,6,PARÁ,PA,79.17899999999999
2012,6,PARAÍBA,PB,0.0
2012,6,PERNAMBUCO,PE,0.0
2012,6,PIAUÍ,PI,0.0
2012,6,PARANÁ,PR,0.0
2012,6,RIO DE JANEIRO,RJ,0.0
2012,6,RIO GRANDE DO NORTE,RN,0.0
2012,6,RONDÔNIA,RO,0.0
2012,6,RORAIMA,RR,2.59
2012,6,RIO GRANDE DO SUL,RS,0.0
2012,6,SANTA CATARINA,SC,0.0
2012,6,SERGIPE,SE,0.0
2012,6,SÃO PAULO,SP,0.0
2012,6,TOCANTINS,TO,0.0
2012,7,ACRE,AC,0.0
2012,7,ALAGOAS,AL,0.0
2012,7,AMAZONAS,AM,0.0
2012,7,AMAPÁ,AP,0.0
2012,7,BAHIA,BA,0.0
2012,7,CEARÁ,CE,0.0
2012,7,DISTRITO FEDERAL,DF,0.0
2012,7,ESPÍRITO SANTO,ES,0.0
2012,7,GOIÁS,GO,0.0
2012,7,MARANHÃO,MA,0.0
2012,7,MINAS GERAIS,MG,0.0
2012,7,MATO GROSSO DO SUL,MS,0.0
2012,7,MATO GROSSO,MT,0.0
2012,7,PARÁ,PA,0.0
2012,7,PARAÍBA,PB,0.0
2012,7,PERNAMBUCO,PE,0.0
2012,7,PIAUÍ,PI,0.0
2012,7,PARANÁ,PR,0.0
2012,7,RIO DE JANEIRO,RJ,0.0
2012,7,RIO GRANDE DO NORTE,RN,0.0
2012,7,RONDÔNIA,RO,0.0
2012,7,RORAIMA,RR,0.0
2012,7,RIO GRANDE DO SUL,RS,0.0
2012,7,SANTA CATARINA,SC,0.0
2012,7,SERGIPE,SE,0.0
2012,7,SÃO PAULO,SP,0.0
2012,7,TOCANTINS,TO,0.0
2012,8,ACRE,AC,0.0
2012,8,ALAGOAS,AL,0.0
2012,8,AMAZONAS,AM,0.0
2012,8,AMAPÁ,AP,0.0
2012,8,BAHIA,BA,0.0
2012,8,CEARÁ,CE,0.0
2012,8,DISTRITO FEDERAL,DF,0.0
2012,8,ESPÍRITO SANTO,ES,0.0
2012,8,GOIÁS,GO,0.0
2012,8,MARANHÃO,MA,0.0
