"","Point Forecast","Lo 70","Hi 70","Lo 75","Hi 75","Lo 80","Hi 80","Lo 85","Hi 85","Lo 95","Hi 95","State"
"Feb 2019",11.4966077960703,0,44.8432577461207,0,48.508439426072,0,52.7297944941827,0,57.8127073544911,0,74.5573250304747,"PA"
"Mar 2019",24.9398439486369,0,58.7222198938634,0,62.4352928893559,0,66.7118065458345,0,71.8611355909101,0,88.824547814821,"PA"
"Apr 2019",108.587124433013,74.7863752244027,142.387873641623,71.0712827952204,146.102966070806,66.7924432658694,150.381805600157,61.6403136487159,155.53393521731,44.6676755124185,172.506573353607,"PA"
"May 2019",282.863431406415,249.060981528891,316.665881283938,245.345702176568,320.381160636261,241.066647359404,324.660215453425,235.914258515255,329.812604297574,218.940766408595,346.786096404234,"PA"
"Jun 2019",336.515375064684,302.712692520259,370.31805760911,298.997387595158,374.033362534211,294.718303324672,378.312446804696,289.565879015923,383.464871113445,272.592270078387,400.438480050981,"PA"
"Jul 2019",333.607902328699,299.805185136413,367.410619520985,296.089876403113,371.125928254285,291.810787746552,375.405016910846,286.658358156551,380.557446500847,269.684731821011,397.531072836388,"PA"
"Aug 2019",265.787217355582,231.984494932243,299.589939778922,228.269185623989,303.305249087175,223.990096305228,307.584338405936,218.837665917877,312.736768793288,201.864036955626,329.710397755539,"PA"
"Sep 2019",85.1687796876923,51.3660564728566,118.971502902528,47.6507470776082,122.686812297776,43.3716576586522,126.965901716732,38.2192271506553,132.118332224729,21.2455977909641,149.09196158442,"PA"
"Oct 2019",29.4852101057586,0,63.2879334405498,0,67.0032428489826,0,71.2823322831238,0,76.434762809405,0,93.4083922293304,"PA"
"Nov 2019",26.173109234997,0,59.9758325887631,0,63.6911419992815,0,67.9702314358247,0,73.1226619649983,0,90.0962913944517,"PA"
"Dec 2019",5.87197377608069,0,39.6746971378391,0,43.390006549236,0,47.669095986791,0,52.8215265171828,0,69.7951559506494,"PA"
