"","Point Forecast","Lo 70","Hi 70","Lo 75","Hi 75","Lo 80","Hi 80","Lo 85","Hi 85","Lo 95","Hi 95","State"
"Feb 2019",455.539290764507,351.098895556343,559.97968597267,339.619690786532,571.458890742481,326.39857285451,584.680008674503,310.479089825947,600.599491703066,258.035606288354,653.042975240659,"GO"
"Mar 2019",1024.65480736249,914.452259183226,1134.85735554176,902.339727301444,1146.96988742354,888.389177966741,1160.92043675824,871.591390176418,1177.71822454856,816.254511091262,1233.05510363372,"GO"
"Apr 2019",874.960951182424,762.472719915497,987.449182449352,750.108965083535,999.812937281313,735.869070945061,1014.05283141979,718.722884500652,1031.1990178642,662.238277248238,1087.68362511661,"GO"
"May 2019",881.280429415874,766.980635465613,995.580223366134,754.417768987685,1008.14308984406,739.948548985115,1022.61230984663,722.526232396474,1040.03462643527,665.131970813747,1097.428888018,"GO"
"Jun 2019",745.370360414172,629.358682862877,861.382037965467,616.607660620513,874.133060207831,601.9217331368,888.818987691544,584.238480136733,906.502240691611,525.984616871437,964.756103956907,"GO"
"Jul 2019",654.858592120906,537.172414059152,772.544770182659,524.237344885441,785.47983935637,509.339442248993,800.377741992818,491.400951010843,818.316233230968,432.306257530582,877.410926711229,"GO"
"Aug 2019",490.538135924833,371.203099081621,609.873172768046,358.086801298509,622.989470551158,342.980169497838,638.096102351828,324.790348500397,656.285923349269,264.867700489813,716.208571359853,"GO"
"Sep 2019",331.661590902405,210.700229307908,452.622952496902,197.405179665374,465.918002139435,182.092671285151,481.230510519658,163.654955311582,499.668226493228,102.915667961873,560.407513842937,"GO"
"Oct 2019",274.545230523834,151.977380482941,397.113080564726,138.505759219822,410.584701827846,122.98988533946,426.100575708208,104.307297968123,444.783163079544,42.7613318403041,506.329129207364,"GO"
"Nov 2019",214.225390389413,90.0621522191755,338.388628559651,76.415179388422,352.035601390404,60.697345197939,367.753435580887,41.7715784112194,386.679202367607,0,449.026273383344,"GO"
"Dec 2019",221.613301873464,95.8295380233226,347.397065723605,82.0044507180186,361.222153028909,66.0814740528909,377.145129694037,46.9086962221479,396.31790752478,0,459.478705945961,"GO"
