"","Point Forecast","Lo 70","Hi 70","Lo 75","Hi 75","Lo 80","Hi 80","Lo 85","Hi 85","Lo 95","Hi 95","State"
"Feb 2019",458.88260683372,145.909259011053,771.855954656387,111.509876090403,806.255337577037,71.890555109322,845.874658558118,24.1851257194294,893.580087948011,0,1050.73587600807,"RS"
"Mar 2019",738.352316599395,397.628895609764,1079.07573758903,360.179459387172,1116.52517381162,317.047254437858,1159.65737876093,265.111978751976,1211.59265444681,94.0218264796951,1382.6828067191,"RS"
"Apr 2019",1538.7398066083,1192.33273602128,1885.14687719532,1154.25860111349,1923.22101210311,1110.40690250981,1967.07271070679,1057.605288056,2019.87432516059,883.661159757492,2193.81845345911,"RS"
"May 2019",2065.25579242314,1717.36754578083,2413.14403906546,1679.13061253046,2451.38097231583,1635.09141173219,2495.4201731141,1582.06402680876,2548.44755803753,1407.37614383642,2723.13544100987,"RS"
"Jun 2019",1731.19242534832,1382.83424658924,2079.5506041074,1344.54566237579,2117.83918832085,1300.44697283351,2161.93787786313,1247.3479578062,2215.03689289044,1072.42410409495,2389.96074660169,"RS"
"Jul 2019",1710.3900582401,1361.85916069998,2058.92095578022,1323.55159269916,2097.22852378104,1279.43103867266,2141.34907780755,1226.30569672751,2194.47441975269,1051.29511436561,2369.48500211459,"RS"
"Aug 2019",1672.35237777691,1323.74397069073,2020.96078486309,1285.42788349627,2059.27687205755,1241.29751753017,2103.40723802366,1188.16036107685,2156.54439447698,1013.11085823217,2331.59389732165,"RS"
"Sep 2019",1330.89339403169,982.225610844355,1679.56117721902,943.902997531125,1717.88379053225,899.765115139657,1762.02167292371,846.61890819555,1815.16787986782,671.539590358534,1990.24719770484,"RS"
"Oct 2019",1036.57316202905,687.811562965019,1385.33476109307,649.47863820422,1423.66768585387,605.328879653463,1467.81744440463,552.168372684409,1520.97795137368,377.041946337555,1696.10437772054,"RS"
"Nov 2019",902.281392896222,553.321202133664,1251.24158365878,514.966449853269,1289.59633593917,470.791551563608,1333.77123422884,417.600773958676,1386.96201183377,242.374627188017,1562.18815860443,"RS"
"Dec 2019",825.093943525041,475.743445800686,1174.4444412494,437.345794280694,1212.84209276939,393.121487001712,1257.06640004837,339.871216275924,1310.31667077416,164.449081576601,1485.73880547348,"RS"
