Ano,Mes,CBOT_Milho
1959,7,1.176409090909091
1959,8,1.1597142857142855
1959,9,1.1420952380952383
1959,10,1.1381818181818177
1959,11,1.1557499999999998
1959,12,1.1349545454545455
1960,1,1.1437999999999995
1960,2,1.13567
1960,3,1.170086956521739
1960,4,1.18894
1960,5,1.2082857142857142
1960,6,1.179709090909091
1960,7,1.1662000000000001
1960,8,1.1505565217391305
1960,9,1.0954761904761905
1960,10,1.0830476190476188
1960,11,1.0493899999999998
1960,12,1.0925714285714287
1961,1,1.1198571428571429
1961,2,1.1545894736842106
1961,3,1.1604090909090912
1961,4,1.10508
1961,5,1.1575454545454544
1961,6,1.143709090909091
1961,7,1.1643000000000001
1961,8,1.1208608695652174
1961,9,1.1162999999999998
1961,10,1.0984090909090904
1961,11,1.098666666666667
1961,12,1.108
1962,1,1.0747272727272728
1962,2,1.0625684210526316
1962,3,1.1145909090909092
1962,4,1.12756
1962,5,1.1536363636363638
1962,6,1.1161809523809527
1962,7,1.0982380952380955
1962,8,1.0652782608695652
1962,9,1.0762631578947366
1962,10,1.0676956521739134
1962,11,1.0680300000000003
1962,12,1.1182105263157893
1963,1,1.1480454545454544
1963,2,1.1622947368421053
1963,3,1.177904761904762
1963,4,1.1727333333333332
1963,5,1.2089545454545456
1963,6,1.2553299999999998
1963,7,1.2386363636363635
1963,8,1.2202727272727272
1963,9,1.16125
1963,10,1.1820000000000002
1963,11,1.1772526315789473
1963,12,1.2064285714285714
1964,1,1.2049545454545454
1964,2,1.1876421052631578
1964,3,1.2151428571428573
1964,4,1.2304545454545452
1964,5,1.2436
1964,6,1.2301545454545457
1964,7,1.1817272727272727
1964,8,1.2046571428571429
1964,9,1.2220476190476188
1964,10,1.2098636363636361
1964,11,1.213884210526316
1964,12,1.2625
1965,1,1.2635499999999997
1965,2,1.2804631578947367
1965,3,1.318478260869565
1965,4,1.3296476190476192
1965,5,1.33405
1965,6,1.3164272727272728
1965,7,1.2552857142857141
1965,8,1.2132818181818181
1965,9,1.1737619047619048
1965,10,1.1466666666666665
1965,11,1.1592285714285715
1965,12,1.2475714285714283
1966,1,1.2870476190476192
1966,2,1.2754631578947369
1966,3,1.2519565217391304
1966,4,1.2671800000000002
1966,5,1.2669523809523806
1966,6,1.2975636363636365
1966,7,1.40085
1966,8,1.459208695652174
1966,9,1.4216190476190478
1966,10,1.3531904761904763
1966,11,1.3963100000000002
1966,12,1.4515238095238094
1967,1,1.4110999999999998
1967,2,1.382578947368421
1967,3,1.4199090909090908
1967,4,1.36755
1967,5,1.3470909090909091
1967,6,1.3270727272727274
1967,7,1.2662499999999999
1967,8,1.201904347826087
1967,9,1.15525
1967,10,1.138590909090909
1967,11,1.1334000000000002
1967,12,1.1921
1968,1,1.1889545454545454
1968,2,1.1892000000000003
1968,3,1.2187142857142859
1968,4,1.16618
1968,5,1.1683636363636365
1968,6,1.13896
1968,7,1.1065
1968,8,1.053481818181818
1968,9,1.0273999999999996
1968,10,1.0603913043478261
1968,11,1.1583421052631577
1968,12,1.178361904761905
1969,1,1.1775818181818183
1969,2,1.159905263157895
1969,3,1.1707800000000002
1969,4,1.2042761904761903
1969,5,1.2861523809523812
1969,6,1.2792714285714286
1969,7,1.2544333333333333
1969,8,1.2209285714285716
1969,9,1.1644904761904762
1969,10,1.186117391304348
1969,11,1.1912736842105263
1969,12,1.2122952380952383
1970,1,1.2109149999999997
1970,2,1.2159157894736843
1970,3,1.2288999999999999
1970,4,1.2620727272727275
1970,5,1.290465
1970,6,1.3262818181818181
1970,7,1.3428681818181822
1970,8,1.4460809523809521
1970,9,1.5247095238095236
1970,10,1.49065
1970,11,1.4745368421052631
1970,12,1.5451363636363638
1971,1,1.5617250000000003
1971,2,1.5238894736842106
1971,3,1.5119434782608694
1971,4,1.4595857142857145
1971,5,1.4520899999999999
1971,6,1.5478454545454545
1971,7,1.4282285714285712
1971,8,1.2379227272727273
1971,9,1.1588380952380952
1971,10,1.1550857142857145
1971,11,1.155861904761905
1971,12,1.2290142857142858
1972,1,1.2143190476190475
1972,2,1.1995400000000003
1972,3,1.2384863636363637
1972,4,1.2474250000000002
1972,5,1.2673545454545454
1972,6,1.2216636363636364
1972,7,1.26189
1972,8,1.2823086956521739
1972,9,1.399595
1972,10,1.3537363636363635
1972,11,1.3736749999999998
1972,12,1.560126315789474
1973,1,1.5748714285714285
1973,2,1.606615789473684
1973,3,1.591222727272727
1973,4,1.6029899999999997
1973,5,1.855890909090909
1973,6,2.269547619047619
1973,7,2.355466666666667
1973,8,2.9731521739130433
1973,9,2.4784210526315786
1973,10,2.45835
1973,11,2.530452380952381
1973,12,2.6948052631578947
1974,1,2.8676136363636364
1974,2,3.139777777777778
1974,3,3.0096428571428575
1974,4,2.664833333333333
1974,5,2.634431818181818
1974,6,2.8241
1974,7,3.2607954545454536
1974,8,3.5724772727272733
1974,9,3.4926250000000003
1974,10,3.802391304347826
1974,11,3.6600263157894735
1974,12,3.5740476190476187
1975,1,3.270227272727273
1975,2,2.961342105263158
1975,3,2.8612500000000005
1975,4,2.887568181818182
1975,5,2.7259523809523807
1975,6,2.775119047619048
1975,7,2.722613636363636
1975,8,3.1168095238095233
1975,9,3.0148809523809526
1975,10,2.904891304347826
1975,11,2.697736842105264
1975,12,2.678928571428572
1976,1,2.6748809523809522
1976,2,2.692763157894737
1976,3,2.7157608695652176
1976,4,2.674952380952381
1976,5,2.8354999999999992
1976,6,2.975795454545455
1976,7,2.916428571428571
1976,8,2.785022727272727
1976,9,2.833571428571428
1976,10,2.6516666666666664
