Ano,Mes,CBOT_Soya
1968,12,2.453977777777777
1969,1,2.4620590909090905
1969,2,2.4419947368421053
1969,3,2.3943350000000003
1969,4,2.392690476190476
1969,5,2.408704761904762
1969,6,2.397685714285714
1969,7,2.413471428571428
1969,8,2.4061523809523804
1969,9,2.4200238095238094
1969,10,2.4788826086956517
1969,11,2.486878947368421
1969,12,2.4612619047619053
1970,1,2.539145
1970,2,2.5602315789473686
1970,3,2.6003809523809522
1970,4,2.6354136363636362
1970,5,2.69065
1970,6,2.791518181818182
1970,7,2.909709090909091
1970,8,2.8167428571428568
1970,9,2.8457238095238093
1970,10,2.9840409090909095
1970,11,3.0588894736842107
1970,12,2.9593000000000003
1971,1,3.0588900000000008
1971,2,3.0594263157894734
1971,3,3.051434782608695
1971,4,2.9223190476190477
1971,5,3.0216350000000003
1971,6,3.197668181818182
1971,7,3.370457142857143
1971,8,3.258640909090909
1971,9,3.1421
1971,10,3.187785714285715
1971,11,3.137219047619048
1971,12,3.138142857142857
1972,1,3.1316285714285717
1972,2,3.2003
1972,3,3.416413636363636
1972,4,3.5256149999999993
1972,5,3.5340272727272724
1972,6,3.4770499999999998
1972,7,3.4886250000000003
1972,8,3.4333130434782615
1972,9,3.3939950000000003
1972,10,3.406036363636363
1972,11,3.6816850000000003
1972,12,4.172805263157895
1973,1,4.528019047619047
1973,2,5.803021052631578
1973,3,6.025795454545454
1973,4,6.287940000000001
1973,5,8.382386363636364
1973,6,10.962631578947367
1973,7,9.283333333333335
1973,8,8.226347826086961
1973,9,6.443157894736841
1973,10,5.843772727272727
1973,11,5.677619047619048
1973,12,6.016736842105264
1974,1,6.262499999999999
1974,2,6.451805555555556
1974,3,6.317738095238094
1974,4,5.600952380952382
1974,5,5.472386363636364
1974,6,5.524324999999999
1974,7,7.10075
1974,8,7.812454545454545
1974,9,7.6815000000000015
1974,10,8.605217391304347
1974,11,7.919473684210526
1974,12,7.386333333333333
1975,1,6.485795454545454
1975,2,5.695157894736843
1975,3,5.598375000000001
1975,4,5.717159090909091
1975,5,5.108333333333333
1975,6,5.083785714285715
1975,7,5.555568181818181
1975,8,6.064428571428571
1975,9,5.734404761904763
1975,10,5.255999999999999
1975,11,4.860526315789474
1975,12,4.6451190476190485
1976,1,4.75297619047619
1976,2,4.806105263157894
1976,3,4.803695652173913
1976,4,4.811857142857143
1976,5,5.313875
1976,6,6.354795454545454
1976,7,6.831595238095239
1976,8,6.42059090909091
1976,9,6.810238095238093
1976,10,6.420642857142856
1976,11,6.6831249999999995
1976,12,6.932904761904762
1977,1,7.206547619047621
1977,2,7.405026315789474
1977,3,8.459021739130435
1977,4,9.879175000000002
1977,5,9.545
1977,6,8.276886363636363
1977,7,6.322474999999999
1977,8,5.385021739130435
1977,9,5.263928571428572
1977,10,5.318595238095238
1977,11,5.981309523809524
1977,12,5.967095238095237
1978,1,5.8259523809523825
1978,2,5.719026315789473
1978,3,6.769204545454546
1978,4,7.0211
1978,5,7.139999999999998
1978,6,6.861681818181819
1978,7,6.487900000000001
1978,8,6.323413043478261
1978,9,6.509625
1978,10,6.84675
1978,11,6.798875000000001
1978,12,6.852925000000002
1979,1,6.989431818181817
1979,2,7.470868421052631
1979,3,7.651136363636363
1979,4,7.421099999999998
1979,5,7.3692045454545445
1979,6,7.812857142857141
1979,7,7.6384285714285705
1979,8,7.174108695652173
1979,9,7.131842105263158
1979,10,6.738608695652174
1979,11,6.773452380952382
1979,12,6.6606578947368416
1980,1,6.6205
1980,2,6.592675000000002
1980,3,6.316547619047619
1980,4,5.9589285714285705
1980,5,6.248333333333332
1980,6,6.3391190476190475
1980,7,7.481181818181819
1980,8,7.665880952380951
1980,9,8.38607142857143
1980,10,8.596130434782607
1980,11,9.254305555555554
1980,12,8.010642857142855
1981,1,7.861190476190475
1981,2,7.528552631578949
1981,3,7.555454545454546
1981,4,7.867452380952381
1981,5,7.705125000000001
1981,6,7.221568181818181
1981,7,7.344522727272727
1981,8,6.920047619047619
1981,9,6.6398809523809526
1981,10,6.583045454545456
1981,11,6.544875
1981,12,6.299954545454543
1982,1,6.422624999999999
1982,2,6.310894736842106
1982,3,6.272608695652174
1982,4,6.546619047619047
1982,5,6.635375000000001
1982,6,6.2923409090909095
1982,7,6.158285714285715
1982,8,5.716659090909089
1982,9,5.484047619047618
1982,10,5.337214285714286
1982,11,5.730625
1982,12,5.680714285714286
1983,1,5.897023809523809
1983,2,5.9208684210526314
1983,3,6.053369565217392
1983,4,6.379250000000001
1983,5,6.30857142857143
1983,6,6.028863636363636
1983,7,6.628674999999999
1983,8,8.512934782608696
1983,9,9.01047619047619
1983,10,8.446904761904761
1983,11,8.270238095238096
1983,12,7.89
1984,1,7.611309523809524
1984,2,7.239775000000002
1984,3,7.890681818181818
1984,4,7.885749999999999
1984,5,8.537499999999998
1984,6,7.824904761904761
1984,7,6.650309523809524
1984,8,6.377956521739129
1984,9,6.10578947368421
1984,10,6.148543478260869
1984,11,6.223333333333334
1984,12,5.920174999999999
1985,1,5.939545454545455
1985,2,5.833026315789474
1985,3,5.939523809523812
1985,4,5.992333333333333
1985,5,5.764659090909091
1985,6,5.762600000000001
1985,7,5.515227272727272
1985,8,5.136909090909092
1985,9,5.1232500000000005
1985,10,5.060608695652174
1985,11,5.1095
1985,12,5.228333333333334
1986,1,5.420909090909091
1986,2,5.269078947368421
1986,3,5.3580000000000005
1986,4,5.283045454545453
1986,5,5.338928571428572
1986,6,5.27347619047619
1986,7,5.135613636363636
1986,8,4.800357142857144
1986,9,4.795238095238095
1986,10,4.820130434782609
1986,11,5.003026315789474
1986,12,4.921772727272728
1987,1,4.966428571428572
1987,2,4.894631578947369
1987,3,4.907500000000001
1987,4,5.134047619047619
1987,5,5.565625
1987,6,5.605659090909091
1987,7,5.3447045454545465
1987,8,5.075380952380952
1987,9,5.2472619047619045
1987,10,5.391727272727272
1987,11,5.6911249999999995
1987,12,5.966568181818181
1988,1,6.235125
1988,2,6.194274999999999
1988,3,6.332173913043479
1988,4,6.729700000000001
1988,5,7.398095238095237
1988,6,9.380568181818182
1988,7,8.8296
1988,8,8.532434782608696
1988,9,8.569166666666666
1988,10,7.940166666666667
1988,11,7.721785714285714
1988,12,7.819142857142856
1989,1,7.867499999999999
1989,2,7.511657894736843
1989,3,7.735795454545454
1989,4,7.310249999999999
1989,5,7.281704545454544
1989,6,7.195704545454546
1989,7,6.787225000000001
1989,8,5.844
1989,9,5.768499999999999
1989,10,5.629454545454545
1989,11,5.843690476190478
1989,12,5.769099999999999
1990,1,5.7102272727272725
1990,2,5.665315789473683
1990,3,5.939999999999999
1990,4,6.021399999999999
1990,5,6.2998863636363645
1990,6,6.022166666666668
1990,7,6.0818095238095236
1990,8,6.098826086956522
1990,9,6.252368421052631
1990,10,6.132152173913044
1990,11,5.856785714285714
1990,12,5.83535
1991,1,5.709318181818182
1991,2,5.731447368421052
1991,3,5.863625
1991,4,5.8863863636363645
1991,5,5.79181818181818
1991,6,5.685999999999999
1991,7,5.404931818181819
1991,8,5.70434090909091
1991,9,5.939875
1991,10,5.607456521739129
1991,11,5.611
1991,12,5.558261904761905
1992,1,5.693409090909092
1992,2,5.755184210526316
1992,3,5.926136363636363
1992,4,5.756894736842105
1992,5,6.032375
1992,6,6.110181818181817
1992,7,5.680568181818181
1992,8,5.491071428571429
1992,9,5.474880952380953
1992,10,5.3839772727272734
1992,11,5.597
1992,12,5.689545454545454
1993,1,5.788500000000001
1993,2,5.716184210526316
1993,3,5.8428260869565225
1993,4,5.926119047619049
1993,5,6.028375
1993,6,6.040818181818182
1993,7,7.046666666666668
1993,8,6.716840909090908
1993,9,6.388452380952381
1993,10,6.161452380952381
1993,11,6.681547619047618
1993,12,6.879452380952381
1994,1,7.007142857142857
1994,2,6.8004999999999995
1994,3,6.8385869565217385
1994,4,6.605131578947369
1994,5,6.790595238095239
1994,6,6.789204545454544
1994,7,6.026574999999999
1994,8,5.719739130434783
1994,9,5.62202380952381
1994,10,5.418428571428572
1994,11,5.655357142857143
1994,12,5.62647619047619
1995,1,5.553333333333332
1995,2,5.553131578947368
1995,3,5.765434782608696
1995,4,5.762710526315789
1995,5,5.827159090909091
1995,6,5.900340909090911
1995,7,6.1899999999999995
1995,8,5.987456521739131
1995,9,6.383000000000001
