"Year","Point.Forecast","Lo.70","Hi.70","Lo.75","Hi.75","Lo.80","Hi.80","Lo.85","Hi.85","Lo.90","Hi.90","Lo.95","Hi.95"
"Apr 2019","19661.1532618828","7311.67102583669","32010.6354979289","5954.32040392297","33367.9861198426","4390.99846592429","34931.3080578412","2508.61021493738","36813.6963088282","62.1217632406806","39260.1847605249","0","43014.839717497"
"May 2019","18891.5768797968","6549.22967388657","31233.924085707","5192.66327412946","32590.4904854642","3630.24456016289","34152.9091994307","1748.94387678743","36034.2098828062","0","38479.2848526665","0","42231.7705222341"
"Jun 2019","19139.9254293849","6797.57822366195","31482.2726351079","5441.01182392542","32838.8390348444","3878.59310998256","34401.2577487873","1997.29242663565","36282.5584321342","0","38727.6334019573","0","42480.119071468"
"Jul 2019","11973.5665140248","0","24315.9137198362","0","25672.4801195824","0","27234.8988335365","0","29116.1995168969","0","31561.2744867376","0","35313.7601562751"
"Aug 2019","24618.9320464286","12276.5848405432","36961.2792523139","10920.0184407888","38317.8456520683","9357.59972682541","39880.2643660317","7476.29904345374","41761.5650494034","5031.22407359839","44206.6400192588","1278.73840403836","47959.1256888188"
"Sep 2019","11948.3567208024","0","24290.703926751","0","25647.2703265123","0","27209.6890404837","0","29090.989723865","0","31536.0646937329","0","35288.5503633121"
"Oct 2019","12297.0185081718","0","24639.3657141962","0","25995.9321139659","0","27558.3508279469","0","29439.6515113398","0","31884.7264812227","0","35637.212150825"
"Nov 2019","22882.3946771083","10540.0475052366","35224.74184898","9183.48110922067","36581.3082449959","7621.06239956304","38143.7269546535","5739.76172137595","40025.0276328406","3294.68675825886","42470.1025959577","0","46222.5882551764"
"Dec 2019","10794.2777267168","0","23123.2989852558","0","24478.4007096033","0","26039.1324908328","0","27918.4019468025","0","30360.8369860382","0","34109.2711226429"
