"Year","Point.Forecast","Lo.70","Hi.70","Lo.75","Hi.75","Lo.80","Hi.80","Lo.85","Hi.85","Lo.90","Hi.90","Lo.95","Hi.95"
"Apr 2019","531197.440433745","427691.079554746","634703.801312745","416314.535937309","646080.344930182","403211.657485268","659183.223382222","387434.546032584","674960.334834906","366929.466408396","695465.414459095","335460.076556719","726934.804310771"
"May 2019","702309.937969019","598216.871573564","806403.004364474","586775.842248758","817844.033689281","573598.692698748","831021.18323929","557732.151782557","846887.724155482","537110.843134097","867509.032803942","505463.075214941","899156.800723098"
"Jun 2019","569012.131863954","460916.944535417","677107.319192491","449036.035931977","688988.227795931","435352.257574895","702672.006153013","418875.687405698","719148.57632221","397461.540445645","740562.723282263","364596.994129421","773427.269598488"
"Jul 2019","687282.750951306","575328.418719128","799237.083183485","563023.345552762","811542.15634985","548851.03773554","825714.464167072","531786.231647896","842779.270254717","509607.570576261","864957.931326351","475569.715349981","898995.786552632"
"Aug 2019","419155.689834757","303470.879305882","534840.500363632","290755.783521623","547555.596147892","276111.234160263","562200.145509251","258477.804353661","579833.575315854","235560.118608948","602751.261060566","200388.073417384","637923.30625213"
"Sep 2019","587715.466922125","468416.773905873","707014.159938376","455304.470728784","720126.463115465","440202.439696058","735228.494148192","422018.158460654","753412.775383595","398384.546201601","777046.387642648","362113.760063997","813317.173780252"
"Oct 2019","483608.408252221","360802.134806855","606414.681697587","347304.308059963","619912.508444479","331758.252141875","635458.564362567","313039.322727466","654177.493776976","288710.842874031","678505.973630411","251373.635165593","715843.181338849"
"Nov 2019","488893.490960626","362677.077927634","615109.903993618","348804.437483973","628982.544437279","332826.691724394","644960.290196858","313587.966696592","664199.01522466","288583.922721494","689203.059199758","250209.918711647","727577.063209605"
"Dec 2019","552267.273243048","422883.187011168","681651.359474928","408662.382725141","695872.163760955","392283.640963497","712250.905522599","372562.078623281","731972.467862815","346930.504218024","757604.042268072","307593.421785054","796941.124701042"
