"Year","Point.Forecast","Lo.70","Hi.70","Lo.75","Hi.75","Lo.80","Hi.80","Lo.85","Hi.85","Lo.90","Hi.90","Lo.95","Hi.95"
"Apr 2019","92214.9464994796","52019.2503795561","132410.642619403","47601.2794813606","136828.613517599","42512.9031141321","141916.989884827","36386.0141749721","148043.878823987","28423.064434596","156006.828564363","16202.2306537995","168227.66234516"
"May 2019","172963.300654212","120311.861737505","225614.73957092","114524.860955428","231401.740352997","107859.711117369","238066.890191055","99834.2370027479","246092.364305677","89403.748111565","256522.853196859","73395.9526152231","272530.648693201"
"Jun 2019","142465.846131025","89632.0115524302","195299.680709619","83824.9633821011","201106.728879948","77136.7240627048","207794.968199345","69083.4480172489","215848.244244801","58616.825718048","226314.866544001","42553.5758501831","242378.116411866"
"Jul 2019","150141.096501846","97125.4932074015","203156.69979629","91298.4665574255","208983.726446266","84587.2171218398","215694.975881852","76506.2347087344","223775.958294957","66003.6032023695","234278.589801322","49885.089575511","250397.103428181"
"Aug 2019","50604.3274845294","0","103801.078404328","0","109648.015268938","0","116382.196196818","0","124490.790306927","0","135029.307979612","0","151202.896533214"
"Sep 2019","137147.006472114","83769.7226946755","190524.290249552","77902.9431854992","196391.069758728","71145.9085888191","203148.104355408","63009.7964885912","211284.216455636","52435.5144378605","221858.498506367","36207.0378674262","238086.975076801"
"Oct 2019","127327.504042074","73770.2959585119","180884.712125636","67883.7406916037","186771.267392544","61103.9294627081","193551.078621439","52940.3921317344","201714.615952413","42330.4662597732","212324.541824374","26047.2866924882","228607.721391659"
"Nov 2019","167738.782388587","114002.253323657","221475.311453517","108095.988611371","227381.576165803","101293.477125188","234184.087651985","93102.6065261447","242374.958251029","82457.1563543239","253020.40842285","66119.4572210592","269358.107556114"
"Dec 2019","98161.0654627669","45982.3090834049","150339.821842129","40247.2615673652","156074.869358169","33641.948649286","162680.182276248","25688.5238754984","170633.607050035","15351.675539185","180970.455386349","0","196834.539608162"
