Date,Production,Plantation,Lag3_Plantation,Exchange_Rate,Soya_Price,Lag3_Milho_Price
2/1/2018,0.0,826.1257142857143,0.0,3.2506526315789475,416.28,148.7
3/1/2018,0.0,369.1200000000002,0.0,3.2789681818181817,430.11,148.98
4/1/2018,0.0,0.0,35.15428571428571,3.4088857142857143,439.07,155.84
5/1/2018,0.0,0.0,826.1257142857143,3.6316,430.32,163.36
6/1/2018,356.46445714285716,0.0,369.1200000000002,3.771047619047619,394.44,172.0
7/1/2018,2820.321351552795,0.0,0.0,3.822095238095238,377.17,175.6
8/1/2018,3093.3325913043477,0.0,0.0,3.9333217391304345,376.77,179.09
9/1/2018,127.96160000000054,0.0,0.0,4.108747368421053,356.87,165.07
10/1/2018,0.0,0.0,0.0,3.761113636363637,367.96,156.46
11/1/2018,0.0,0.0,0.0,3.78595,374.04,162.37
12/1/2018,0.0,0.0,0.0,3.883355555555556,380.53,154.8
1/1/2019,0.0,399.12,0.0,3.735565,382.35,160.26
2/1/2019,0.0,682.0517333333336,0.0,3.724433333333333,380.75,160.69
3/1/2019,0.0,249.22826666666649,0.0,3.73586320775015,363.803071324242,167.44
4/1/2019,0.0,0.0,399.12,3.6957914372487797,369.51807217983804,166.74
5/1/2019,0.0,0.0,682.0517333333336,3.72510284512667,370.63768379245005,169.52
6/1/2019,0.0,0.0,249.22826666666649,3.74957636594419,369.65859785761705,170.79959271010298
7/1/2019,0.0,0.0,0.0,3.73523662312877,375.94162402083504,169.77749508851102
8/1/2019,0.0,0.0,0.0,3.77093790800061,373.153579417723,169.929585606075
9/1/2019,0.0,0.0,0.0,3.83131351086432,367.679791222964,168.576985187654
10/1/2019,0.0,0.0226469795766562,0.0,3.8273876875422994,361.18066873260597,171.254936037046
11/1/2019,0.0,0.0292495035291402,0.0,3.85857162691347,363.07582677412995,163.019992693414
12/1/2019,0.0,0.0386209738799823,0.0,3.8943019394206804,369.576379599759,157.524338264814
