Date,Production,Plantation,Lag3_Plantation,Exchange_Rate,Soya_Price
10/1/2018,0.0,0.0,0.0,3.761113636363637,367.96
11/1/2018,0.0,0.0,0.0,3.78595,374.04
12/1/2018,0.0,0.0,0.0,3.883355555555556,380.53
1/1/2019,0.0,1356.776466905056,0.0,3.735565,382.35
2/1/2019,0.0,3150.872933245577,0.0,3.724433333333333,380.75
3/1/2019,0.0,212.35059984936746,0.0,3.73586320775015,363.803071324242
4/1/2019,0.0,0.24706477662941395,1356.776466905056,3.6957914372487797,369.51807217983804
5/1/2019,0.0,0.17661138033435603,3150.872933245577,3.72510284512667,370.63768379245005
6/1/2019,0.0,0.0897643315871635,212.35059984936746,3.74957636594419,369.65859785761705
7/1/2019,0.0,0.18871990749391396,0.24706477662941395,3.73523662312877,375.94162402083504
8/1/2019,0.0,0.0817782997093901,0.17661138033435603,3.77093790800061,373.153579417723
9/1/2019,0.0,0.118840821021047,0.0897643315871635,3.83131351086432,367.679791222964
10/1/2019,0.0,0.170873313847773,0.18871990749391396,3.8273876875422994,361.18066873260597
11/1/2019,0.0,0.17902143927197103,0.0817782997093901,3.85857162691347,363.07582677412995
12/1/2019,0.0,0.143163647045568,0.118840821021047,3.8943019394206804,369.576379599759
