"Date","Predicted Export"
"1/1/2015",59895.5627248979
"2/1/2015",48862.5320430394
"3/1/2015",57335.382382415
"4/1/2015",59021.949463112
"5/1/2015",96486.1836686191
"6/1/2015",59072.3983492042
"7/1/2015",93471.8707013118
"8/1/2015",121383.860542265
"9/1/2015",114208.35568054
"10/1/2015",128279.630326361
"11/1/2015",61792.8540378672
"12/1/2015",89583.8728576411
"1/1/2016",120157.2016675
"2/1/2016",52818.6557151174
"3/1/2016",60927.2514146386
"4/1/2016",63036.7698448051
"5/1/2016",132658.415132164
"6/1/2016",96375.6396219607
"7/1/2016",112606.544585732
"8/1/2016",73091.7608826194
"9/1/2016",175833.466078784
"10/1/2016",106928.915936461
"11/1/2016",123493.3171912
"12/1/2016",86979.7446580398
"1/1/2017",116147.182253818
"2/1/2017",3460.36660077101
"3/1/2017",59767.0893787746
"4/1/2017",45550.8930578952
"5/1/2017",98106.9970097919
"6/1/2017",51443.2750753426
"7/1/2017",109758.960394968
"8/1/2017",44577.7506690033
"9/1/2017",127455.267881057
"10/1/2017",139094.692350385
"11/1/2017",39026.3415905316
"12/1/2017",39552.3576701202
"1/1/2018",156729.61435046
"2/1/2018",142333.993233378
"3/1/2018",49282.0720239943
"4/1/2018",58923.757756698
"5/1/2018",95581.3762141711
"6/1/2018",82224.1478766885
"7/1/2018",175163.116916396
"8/1/2018",65385.915686496
"9/1/2018",53240.719028401
"10/1/2018",40713.2517277928
"11/1/2018",173942.110268076
"12/1/2018",118204.330367012
"1/1/2019",124648.414142384
"2/1/2019",56206.105001255
"3/1/2019",81364.6793895684
"4/1/2019",92214.9464994796
"5/1/2019",172963.300654212
"6/1/2019",142465.846131025
"7/1/2019",150141.096501846
"8/1/2019",50604.3274845294
"9/1/2019",137147.006472114
"10/1/2019",127327.504042074
"11/1/2019",167738.782388587
"12/1/2019",98161.0654627669
