Year,Month,Estado,UF,Tonnes,Argentina_Production,Exchange_Rate,Interest_Rate,Soya_Prod,Biodiesel_Prod,Biodiesel_Consump,CBOT_Soya,CBOT_Soyameal
2012.0,2.0,MATO GROSSO,MT,412687.611,0.0,1.7168,9.3174,9954.486,33763.14,3341.953282,12.568800000000003,330.89200000000005
2012.0,2.0,PARÁ,PA,0.0,0.0,1.7168,9.3174,0.0,0.0,5792.207294,12.568800000000003,330.89200000000005
2012.0,2.0,PARAÍBA,PB,0.0,0.0,1.7168,9.3174,0.0,0.0,1327.037241,12.568800000000003,330.89200000000005
2012.0,2.0,PERNAMBUCO,PE,0.0,0.0,1.7168,9.3174,0.0,0.0,6832.036273000001,12.568800000000003,330.89200000000005
2012.0,2.0,PIAUÍ,PI,0.0,0.0,1.7168,9.3174,0.0,0.0,503.6551927,12.568800000000003,330.89200000000005
2012.0,2.0,PARANÁ,PR,170117.003,0.0,1.7168,9.3174,2470.212,10102.701,4341.304521,12.568800000000003,330.89200000000005
2012.0,2.0,RIO DE JANEIRO,RJ,0.0,0.0,1.7168,9.3174,0.0,2069.897,4053.7557490000004,12.568800000000003,330.89200000000005
2012.0,2.0,RIO GRANDE DO NORTE,RN,0.0,0.0,1.7168,9.3174,0.0,0.0,2502.223365,12.568800000000003,330.89200000000005
2012.0,2.0,RONDÔNIA,RO,0.0,0.0,1.7168,9.3174,235.729,711.8810000000001,0.0,12.568800000000003,330.89200000000005
2012.0,2.0,RORAIMA,RR,0.0,0.0,1.7168,9.3174,0.0,0.0,0.0,12.568800000000003,330.89200000000005
2012.0,2.0,RIO GRANDE DO SUL,RS,239035.181,0.0,1.7168,9.3174,59.201,60924.038,41476.0876,12.568800000000003,330.89200000000005
2012.0,2.0,SANTA CATARINA,SC,51741.18,0.0,1.7168,9.3174,16.885,0.0,3881.396872,12.568800000000003,330.89200000000005
2012.0,2.0,SERGIPE,SE,0.0,0.0,1.7168,9.3174,0.0,0.0,150.9918983,12.568800000000003,330.89200000000005
2012.0,2.0,SÃO PAULO,SP,9781.431,0.0,1.7168,9.3174,194.782,21476.615,50705.32746,12.568800000000003,330.89200000000005
2012.0,2.0,TOCANTINS,TO,0.0,0.0,1.7168,9.3174,0.0,5760.674,273.72839280000005,12.568800000000003,330.89200000000005
2012.0,3.0,ACRE,AC,0.0,0.0,1.7953,8.9862,0.0,0.0,0.0,13.52375,369.37619047619046
2012.0,3.0,ALAGOAS,AL,0.0,0.0,1.7953,8.9862,0.0,0.0,1028.08905,13.52375,369.37619047619046
2012.0,3.0,AMAZONAS,AM,0.0,0.0,1.7953,8.9862,0.0,0.0,105.25864820000001,13.52375,369.37619047619046
2012.0,3.0,AMAPÁ,AP,0.0,0.0,1.7953,8.9862,0.0,0.0,0.0,13.52375,369.37619047619046
2012.0,3.0,BAHIA,BA,53212.62020021162,0.0,1.7953,8.9862,1559.4769999999999,15010.499,18753.18652,13.52375,369.37619047619046
2012.0,3.0,CEARÁ,CE,0.0,0.0,1.7953,8.9862,0.0,3586.86,3634.7464600000003,13.52375,369.37619047619046
2012.0,3.0,DISTRITO FEDERAL,DF,0.0,0.0,1.7953,8.9862,44.0,0.0,17335.380830000002,13.52375,369.37619047619046
