Date,Plantation,Interest_Rate,Exchange_Rate,Lag3_Milho_Price
2/1/2019,0.0,6.5843,3.724433333333333,160.69
3/1/2019,0.0,5.910311887362631,3.73586320775015,167.44
4/1/2019,0.0,6.411489078073469,3.6957914372487797,166.74
5/1/2019,0.0,5.983559877051059,3.72510284512667,169.52
6/1/2019,0.0,6.74214324047129,3.74957636594419,170.79959271010298
7/1/2019,0.0,5.840935944235441,3.73523662312877,169.77749508851102
8/1/2019,0.0,5.96477314473763,3.77093790800061,169.929585606075
9/1/2019,0.0,5.55932386833838,3.83131351086432,168.576985187654
10/1/2019,0.0,5.4527880737359,3.8273876875422994,171.254936037046
11/1/2019,0.0,5.78982606652536,3.85857162691347,163.019992693414
12/1/2019,0.0,5.56342277491543,3.8943019394206804,157.524338264814
