Date,Plantation,Exchange_Rate,Lag3_Soya_Price,Lag1_Soya_Price,Soya_Price
3/1/2018,0.0,3.2789681818181817,387.15,416.28,430.11
4/1/2018,0.0,3.4088857142857143,389.53,430.11,439.07
5/1/2018,0.0,3.6316,416.28,439.07,430.32
6/1/2018,0.0,3.771047619047619,430.11,430.32,394.44
7/1/2018,0.0,3.822095238095238,439.07,394.44,377.17
8/1/2018,0.0,3.9333217391304345,430.32,377.17,376.77
9/1/2018,60.92352084990798,4.108747368421053,394.44,376.77,356.87
10/1/2018,1905.5674811895776,3.761113636363637,377.17,356.87,367.96
11/1/2018,1271.4185551481173,3.78595,376.77,367.96,374.04
12/1/2018,151.57852099010896,3.883355555555556,356.87,374.04,380.53
1/1/2019,0.0,3.735565,367.96,380.53,382.35
2/1/2019,0.0,3.724433333333333,374.04,382.35,380.75
3/1/2019,0.0,3.73586320775015,380.53,380.75,363.803071324242
4/1/2019,0.0,3.6957914372487797,382.35,363.803071324242,369.51807217983804
5/1/2019,0.0,3.72510284512667,380.75,369.51807217983804,370.63768379245005
6/1/2019,0.0,3.74957636594419,363.803071324242,370.63768379245005,369.65859785761705
7/1/2019,0.0,3.73523662312877,369.51807217983804,369.65859785761705,375.94162402083504
8/1/2019,0.0,3.77093790800061,370.63768379245005,375.94162402083504,373.153579417723
9/1/2019,0.0,3.83131351086432,369.65859785761705,373.153579417723,367.679791222964
10/1/2019,0.0,3.8273876875422994,375.94162402083504,367.679791222964,361.18066873260597
11/1/2019,0.0,3.85857162691347,373.153579417723,361.18066873260597,363.07582677412995
12/1/2019,0.0,3.8943019394206804,367.679791222964,363.07582677412995,369.576379599759
