"","Point Forecast","Lo 70","Hi 70","Lo 75","Hi 75","Lo 80","Hi 80","Lo 85","Hi 85","Lo 95","Hi 95","State"
"Feb 2019",0,0,26.2894828360376,0,29.3011046780752,0,32.7697254003875,0,36.9462745398238,0,50.7050621615691,"SC"
"Mar 2019",0,0,15.0225481522104,0,18.076453780083,0,21.5937746458588,0,25.8289633883411,0,39.780927198752,"SC"
"Apr 2019",3.08004629199129,0,30.8521773173784,0,33.904655032529,0,37.4203313068132,0,41.653539804775,0,55.5989801042953,"SC"
"May 2019",17.1662131518038,0,45.034195000417,0,48.0972078272451,0,51.6250178648613,0,55.8728365675295,0,69.8664072007191,"SC"
"Jun 2019",0,0,21.6217974717982,0,24.684651265504,0,28.2122781374997,0,32.4598762913458,0,46.4527203715121,"SC"
"Jul 2019",5.03672136525653,0,32.8913632444398,0,35.9529098546724,0,39.4790311844979,0,43.7248165224272,0,57.711688651022,"SC"
"Aug 2019",16.3148867300634,0,44.4933370586753,0,47.5904739545418,0,51.1575862217221,0,55.4527285455658,0,69.6021971776791,"SC"
"Sep 2019",37.0625986830175,8.90267655316689,65.2225208128681,5.80757612017639,68.3176212458586,2.24280933915022,71.8823880268848,0,76.1747061623946,0,90.3148710831922,"SC"
"Oct 2019",18.9563405238116,0,47.1618408039265,0,50.261950801644,0,53.8324873243355,0,58.1317527773862,0,72.2948042160707,"SC"
"Nov 2019",9.77508816711403,0,37.9603887046799,0,41.058278517568,0,44.6262579532444,0,48.922444430406,0,63.0753528122425,"SC"
"Dec 2019",0,0,23.8473840874331,0,26.9504845817285,0,30.5244653942226,0,34.8278780996721,0,49.0045918138536,"SC"
